Sample time,Sample number,Sample type,DOC_mgL-1,specificconductance_uSeiCm-1
2010-03-30 21:45,10PY005951,1,4,127
2010-04-15 22:15,10PY005983,1,3.6,129
2010-05-10 19:46,10PY005537,1,3.8,113
2010-06-08 19:30,10PY005402,1,2.4,92
2010-06-30 19:48,10PY005664,1,1.7,87
2010-07-13 20:25,10PY005613,1,1.6,85
2010-07-27 21:30,10PY006114,1,1.5,91
2010-08-12 21:38,10PY005782,1,1.2,87
2010-09-02 17:55,10PY005854,1,2.1,106
2010-09-17 17:30,10PY006123,1,2,137
2010-10-05 18:34,10PY006037,1,2.1,109
2010-10-21 19:50,10PY006084,1,1.9,124
2010-11-03 18:39,10PY006184,1,1.4,90
2010-12-09 15:38,11PY005036,1,2.1,283
2011-04-15 22:28,11PY005403,1,3,136
2011-05-04 21:38,11PY005439,1,7.4,118
2011-05-19 20:35,11PY005483,1,7,113
2011-05-31 23:35,11PY005587,1,6,106
2011-06-14 20:00,11PY005623,1,5.1,100
2011-06-28 19:45,11PY005665,1,2.2,90
2011-07-19 20:00,11PY005778,1,5.2,94
2011-08-04 19:45,11PY005830,1,5.2,94
2011-08-30 19:22,11PY005945,1,2.3,104
2011-09-15 21:40,11PY005964,1,2.1,107
2011-09-29 18:49,11PY006055,1,2.1,99
2011-10-20 17:52,12PY005205,1,2.28,104
2011-11-09 20:34,12PY005083,1,2.79,242
2011-11-25 21:00,12PY005122,1,2.28,210
2012-04-13 23:16,12PY005472,1,2.91,404
2012-04-27 21:40,13PY005381,1,5.4,91.4
2012-05-17 18:30,12PY005701,1,4.94,97
2012-06-06 19:00,12PY005560,1,4.16,93.4
2012-06-21 20:07,12PY005663,1,3.47,90
2012-07-13 20:40,13PY005385,1,2.41,88
2012-07-26 19:28,12PY005870,1,2.61,89.3
2012-08-09 19:33,12PY006042,1,1.92,94.5
2012-08-24 19:15,12PY005877,1,2.07,93.9
2012-09-07 19:15,12PY005881,1,2.89,120
2012-09-19 19:50,12PY005912,1,2.05,212
2012-10-23 18:50,13PY005033,1,1.68,93.6
2012-11-22 18:35,13PY005109,1,3.23,75.5
2012-12-05 16:20,13PY005138,1,3.98,84.7
2013-02-28 22:50,13PY005358,1,2.5,237
2013-04-12 21:10,13PY005472,1,4.68,159
2013-05-03 19:30,13PY005579,1,7.18,98.5
2013-05-17 19:00,13PY005613,1,4.42,95.1
2013-05-31 19:15,13PY005650,1,3.85,97.4
2013-06-14 18:25,13PY005747,1,2.59,98.1
2013-06-27 18:20,13PY005784,1,2.12,92.3
2013-07-11 18:35,13PY005819,1,2.15,91.9
2013-07-25 18:00,13PY005856,1,2.06,95
2013-08-01 19:30,13PY005871,1,1.67,96.8
2013-08-28 19:33,13PY005947,1,2,101
2013-09-04 19:10,13PY005962,1,1.69,151
2013-09-17 19:25,13PY005994,1,2.01,95.6
2013-10-02 20:45,13PY006026,1,1.48,76.6
2014-05-07 19:30,14PY005449,1,8.22,99
2014-10-29 19:10,14PY005926,1,1.39,93.8
2014-11-20 19:45,14PY006002,1,2.96,195
2014-12-15 19:50,15PY005151,1,2.18,87.3
2015-01-21 22:00,15PY005242,1,2.7,442
2015-02-13 19:05,15PY005461,1,,113
2015-03-26 10:04,15PY005597,1,5.53,106
2015-04-16 20:50,15PY005838,1,4.67,117
2015-04-30 20:45,15PY005887,1,5.07,112
2015-10-02 19:00,16PY005351,1,1.78,121
2015-11-10 20:00,16PY005503,1,3.29,93.2
2015-11-26 21:45,16PY005546,1,1.97,158
2015-12-09 20:06,16PY005620,1,2.09,99.1
2015-12-22 20:40,16PY005613,1,2.09,190
2016-02-02 20:35,16PY005703,1,2.63,169
2016-04-14 18:45,16PY005912,1,5.17,92
2016-05-31 18:30,16PY006020,1,2.06,93.7
2016-10-21 18:05,17PY005131,1,3.11,107
2016-11-04 18:10,17PY005170,1,3.2,110
2016-11-29 20:15,17PY005580,1,3.36,108
2017-04-03 22:05,17PY005650,1,2.79,291
2017-05-11 19:00,17PY005772,1,5.39,110
2017-11-01 20:00,17PY006576,1,3.43,130
2017-12-06 21:55,18PY005015,1,2.82,187
2018-01-31 19:15,18PY005948,1,2.09,177
2018-05-10 19:10,18PY005727,1,7.2,104
2018-05-30 21:10,18PY005771,1,2.85,99.7
2018-11-22 20:46,19PY000157,1,2.8,206
2019-04-12 19:39,19PY000392,1,6.44,144
2019-04-23 19:30,19PY000504,1,5.63,112
2019-11-12 20:14,19PY001363,1,3.93,144
2020-02-10 21:56,20PY000180,1,2.28,141
2020-12-10 20:00,21PY000649,1,3.47,112
2021-10-11 16:50,21PY000859,1,2.33,108
2021-11-01 17:25,21PY000959,1,2.24,96
2021-12-09 18:25,21PY001042,1,2.24,122
2022-02-01 18:36,22PY000093,1,2.72,662
2022-02-23 20:40,22PY000138,1,2.58,2010
2022-03-07 18:45,22PY000168,1,3.11,351
2022-04-21 18:35,22PY000346,1,5.47,203
2022-05-16 18:30,22PY000432,1,6,131
