Sample time,Sample number,Sample type,conductance_useicm-1
2009-01-15 16:17,09PY000066,1,260
2009-07-06 19:49,09PY000775,1,100
2009-07-22 19:35,09PY000760,1,100
2009-08-20 19:03,09PY000945,1,150
2009-09-10 20:50,09PY000987,1,110
2009-10-08 17:30,09PY001179,1,250
2009-11-08 13:15,09PY001278,1,89
2009-12-21 16:00,10PY000028,1,110
2010-03-30 21:45,10PY005951,1,120
2010-04-15 22:15,10PY005983,1,130
2010-05-10 19:46,10PY005537,1,130
2010-07-27 21:30,10PY006114,1,92
2010-10-05 18:34,10PY006037,1,100
2010-12-09 15:38,11PY005036,1,290
2011-05-04 21:38,11PY005439,1,120
2011-05-19 20:35,11PY005483,1,110
2011-05-31 23:35,11PY005587,1,110
2011-06-14 20:00,11PY005623,1,96
2011-06-28 19:45,11PY005665,1,92
2011-07-19 20:00,11PY005778,1,94
2011-08-30 19:22,11PY005945,1,87
2011-09-29 18:49,11PY006055,1,100
2011-10-20 17:52,12PY005205,1,115
2011-11-09 20:34,12PY005083,1,230
2011-11-25 21:00,12PY005122,1,165
2012-04-13 23:16,12PY005472,1,200
2012-04-27 21:40,13PY005381,1,90
2012-07-13 20:40,13PY005385,1,88
2012-07-26 19:28,12PY005870,1,96
2013-04-12 21:10,13PY005472,1,182
2013-05-03 19:30,13PY005579,1,99
2013-06-14 18:25,13PY005747,1,97
2013-07-11 18:35,13PY005819,1,92
2013-07-25 18:00,13PY005856,1,95
2013-08-01 19:30,13PY005871,1,102.7
2013-09-04 19:10,13PY005962,1,183
2013-09-17 19:25,13PY005994,1,98
2013-10-02 20:45,13PY006026,1,78
2014-10-29 19:10,14PY005926,1,98
2014-11-20 19:45,14PY006002,1,119
2014-12-15 19:50,15PY005151,1,86
2015-01-21 22:00,15PY005242,1,420
2015-02-13 19:05,15PY005461,1,115
2015-03-26 10:04,15PY005597,1,67.5
2015-04-16 20:50,15PY005838,1,119.5
2015-04-30 20:45,15PY005887,1,80.9
2015-12-09 20:06,16PY005620,1,125.2
2016-04-14 18:45,16PY005912,1,92
2016-05-31 18:30,16PY006020,1,93.9
2018-01-31 19:15,18PY005948,1,159.6
2018-07-05 18:37,18PY005888,1,96.9
2018-07-19 18:30,18PY006022,1,96.2
2018-08-30 18:15,18PY006141,1,129.8
2018-09-13 18:10,18PY006183,1,235
2018-09-27 19:25,18PY006223,1,120.5
2018-10-10 18:24,18PY006286,1,250
2019-04-12 19:39,19PY000392,1,149
2019-04-23 19:30,19PY000504,1,123.1
2019-07-31 20:10,19PY000853,1,112
2019-09-03 19:50,19PY000954,1,117.1
2019-11-12 20:14,19PY001363,1,200
2020-02-10 21:56,20PY000180,1,136.6
2020-12-10 20:00,21PY000649,1,109.3
2021-10-11 16:50,21PY000859,1,104.7
2021-11-01 17:25,21PY000959,1,92.5
2022-02-01 18:36,22PY000093,1,643
2022-02-23 20:40,22PY000138,1,2120
2022-03-07 18:45,22PY000168,1,368
2022-04-21 18:35,22PY000346,1,216
