Sample time,Sample number,Sample type,aluminum_total_ugL-1,antimony_total_ugL-1,arsenic_total_ugL-1,barium_total_ugL-1,beryllium_total_ugL-1,bismuth_total_ugL-1,boron_total_ugL-1,cadmium_total_ugL-1,cerium_total_ugL-1,cesium_total_ugL-1
2008-09-03 0:25,08PY001043, ,489,0.044,0.43,15.6,0.013,0.005,3.9,0.014,0.582,0.045
2008-09-17 22:15,08PY001061,1,321,0.049,0.46,15.5,0.008,0.003,5,0.016,0.38,0.028
2008-10-15 19:24,08PY001200,1,240,0.039,0.39,15,0.007,0.003,6.9,0.015,0.271,0.021
2008-11-26 20:55,08PY001397,1,323,0.048,0.44,15.1,0.01,0.004,7.3,0.014,0.385,0.029
2008-12-04 16:13,09PY000042,1,207,0.048,0.4,14.3,0.006,0.003,5.8,0.013,0.268,0.02
2009-01-15 16:17,09PY000066,1,448,0.059,0.65,17.8,0.015,0.006,18.7,0.022,0.43,0.033
2009-02-05 5:20,09PY000114,1,236,0.061,0.57,17.9,0.008,0.005,22.9,0.022,0.311,0.027
2009-05-13 20:20,09PY000544,1,2630,0.094,1.09,48.3,0.081,0.019,3.7,0.072,3.88,0.191
2009-06-04 19:03,09PY000637,1,2590,0.085,1.2,46.8,0.079,0.017,3.4,0.063,3.35,0.167
2009-07-06 19:49,09PY000775,1,1650,0.062,0.76,30.1,0.042,0.013,3.6,0.038,2.2,0.118
2009-07-22 19:35,09PY000760,1,1220,0.055,0.62,23.9,0.03,0.011,3.8,0.046,1.69,0.092
2009-08-20 19:03,09PY000945,1,1120,0.07,0.66,23.6,0.029,0.011,4.6,0.053,1.47,0.091
2009-09-10 20:50,09PY000987,1,376,0.056,0.4,14.5,0.008,0.003,4.5,0.02,0.307,0.028
2009-10-08 17:30,09PY001179,1,677,,,18,0.017,0.006,13,0.025,0.769,0.051
2009-10-22 17:02,09PY001208,1,385,0.054,0.52,14.6,0.009,0.005,11.4,0.025,0.418,0.037
2009-11-08 13:15,09PY001278,1,650,0.054,0.54,17.8,0.022,0.01,4.1,0.024,0.952,0.067
2009-11-30 19:59,09PY001394,1,255,0.049,0.44,13.4,0.006,0.002,5.2,0.014,0.237,0.018
2009-12-21 16:00,10PY000028,1,364,0.07,0.57,14.5,0.011,0.005,9.7,0.032,0.337,0.025
2010-03-30 21:45,10PY005951,1,1920,0.109,1.16,32.2,0.047,0.019,7.8,0.06,2.5,0.144
2010-04-15 22:15,10PY005983,1,1180,0.075,0.79,25.6,0.033,0.011,6.3,0.039,1.47,0.092
2010-05-10 19:46,10PY005537,1,1150,0.062,0.71,24.9,0.034,0.009,5.5,0.042,1.65,0.097
2010-06-08 19:30,10PY005402,1,1820,0.061,0.73,30.3,0.042,0.01,3.8,0.034,1.77,0.105
2010-06-30 19:48,10PY005664,1,1470,0.056,0.69,26.4,0.037,0.012,3.2,0.164,1.74,0.106
2010-07-13 20:25,10PY005613,1,1130,0.051,0.6,20.7,0.026,0.007,4.2,0.021,1.14,0.068
2010-07-27 21:30,10PY006114,1,839,0.053,0.55,20.3,0.018,0.006,5.3,0.019,0.848,0.058
2010-08-12 21:38,10PY005782,1,841,0.05,0.53,18.2,0.019,0.006,4.8,0.036,0.767,0.056
2010-09-02 17:55,10PY005854,1,431,0.047,0.49,15.8,0.012,0.005,5.9,0.014,0.531,0.039
2010-09-17 17:30,10PY006123,1,283,0.045,0.41,14.4,0.008,0.005,8.4,0.016,0.342,0.028
2010-10-05 18:34,10PY006037,1,1060,0.048,0.59,23.5,0.036,0.014,4.9,0.029,1.66,0.11
2010-10-21 19:50,10PY006084,1,189,0.039,0.35,13.9,0.006,0.002,7,0.022,0.275,0.026
2010-11-03 18:39,10PY006184,1,288,0.04,0.41,13.4,0.009,0.004,5.6,0.015,0.341,0.028
2010-12-09 15:38,11PY005036,1,350,0.066,0.57,16.7,0.013,0.005,19.1,0.098,0.455,0.033
2011-04-15 22:28,11PY005403,1,630,0.088,0.71,21.7,0.022,0.01,7.1,0.213,1.1,0.075
2011-05-04 21:38,11PY005439,1,1930,0.101,0.98,37.3,0.062,0.018,5.3,0.107,3.03,0.187
2011-05-19 20:35,11PY005483,1,5070,0.135,1.8,71.1,0.136,0.034,4.4,0.122,6.92,0.368
2011-05-31 23:35,11PY005587,1,5670,0.157,1.64,74.6,0.143,0.037,4.8,0.123,7.46,0.317
2011-06-14 20:00,11PY005623,1,2890,0.095,1.37,44.9,0.082,0.021,4,0.071,4.41,0.232
2011-06-28 19:45,11PY005665,1,1620,0.091,0.99,29.9,0.048,0.015,3.7,0.051,2.63,0.151
2011-07-19 20:00,11PY005778,1,1930,0.073,0.91,33,0.048,0.015,2.8,0.045,2.9,0.135
2011-08-04 19:45,11PY005830,1,1410,0.067,0.68,27.8,0.038,0.012,3.1,0.033,1.87,0.107
2011-08-30 19:22,11PY005945,1,1650,0.061,0.8,29.6,0.044,0.014,3.9,0.033,2.03,0.116
2011-09-15 21:40,11PY005964,1,353,0.054,0.46,16.5,0.01,0.003,4,0.018,0.409,0.027
2011-09-29 18:49,11PY006055,1,1220,0.063,0.71,25.5,0.036,0.01,3.7,0.038,1.41,0.098
2011-10-20 17:52,12PY005205,1,230,0.043,0.39,14,0.008,0.002,4.9,0.013,0.277,0.02
2011-11-09 20:34,12PY005083,1,174,0.046,0.42,14.2,0.007,0.004,13.4,0.016,0.248,0.02
2011-11-25 21:00,12PY005122,1,431,0.055,0.53,16.3,0.013,0.004,12.3,0.019,0.413,0.032
2012-04-13 23:16,12PY005472,1,659,0.076,0.74,22.8,0.023,0.011,29.7,0.079,1.25,0.073
2012-04-27 21:40,13PY005381,1,3390,0.108,1.51,48.3,0.09,0.023,3.9,0.081,4.39,0.267
2012-05-17 18:30,12PY005701,1,1380,0.073,1.2,29.3,0.047,0.011,2.3,0.048,2.14,0.12
2012-06-21 20:07,12PY005663,1,1890,0.084,1.21,39.6,0.068,0.022,3.3,0.073,4.1,0.203
2012-07-13 20:40,13PY005385,1,1070,0.057,0.67,25.4,0.034,0.01,2.9,0.032,1.75,0.099
2012-07-26 19:28,12PY005870,1,1880,0.065,0.73,30.4,0.047,0.014,3.9,0.037,2.24,0.133
2012-08-09 19:33,12PY006042,1,807,0.066,0.6,19.9,0.021,0.008,3.9,0.031,0.956,0.066
2012-08-24 19:15,12PY005877,1,586,0.05,0.45,19.3,0.016,0.005,3.8,0.024,0.82,0.052
2012-09-07 19:15,12PY005881,1,333,0.048,0.42,16.5,0.009,0.003,5.5,0.018,0.393,0.031
2012-09-19 19:50,12PY005912,1,284,0.051,0.44,16,0.009,0.003,11.6,0.022,0.339,0.026
2012-10-23 18:50,13PY005033,1,328,0.043,0.4,15,0.008,0.004,4.4,0.014,0.358,0.028
2012-11-22 18:35,13PY005109,1,315,0.052,0.46,13.6,0.008,0.005,4.7,0.016,0.277,0.029
2012-12-05 16:20,13PY005138,1,217,0.047,0.4,12.9,0.01,0.003,5.7,0.015,0.226,0.021
2013-02-28 22:50,13PY005358,1,336,0.068,0.57,17.1,0.01,0.015,15.6,0.105,0.447,0.029
2013-04-12 21:10,13PY005472,1,2540,0.107,1.06,39.3,0.068,0.024,8.9,0.081,3.85,0.207
2013-05-03 19:30,13PY005579,1,2150,0.073,0.96,41.7,0.078,0.014,2.9,0.05,3.67,0.197
2013-05-17 19:00,13PY005613,1,3920,0.107,1.72,59.2,0.12,0.016,1.5,0.109,6.47,0.327
2013-05-31 19:15,13PY005650,1,1030,0.056,0.75,25.8,0.034,0.011,2.8,0.036,1.88,0.105
2013-06-14 18:25,13PY005747,1,1750,0.063,0.74,29.4,0.049,0.023,4.4,0.035,2.48,0.125
2013-06-27 18:20,13PY005784,1,1830,0.066,0.8,29.6,0.048,0.012,4,0.039,2.36,0.121
2013-07-11 18:35,13PY005819,1,1380,0.058,0.74,26.4,0.037,0.015,4,0.029,2.04,0.126
2013-07-25 18:00,13PY005856,1,549,0.053,0.5,18.5,0.017,0.011,4.3,0.022,0.742,0.049
2013-08-28 19:33,13PY005947,1,459,0.053,0.51,17.5,0.016,0.005,5,0.014,0.566,0.047
2013-09-04 19:10,13PY005962,1,438,0.05,0.5,16.6,0.013,0.011,7.5,0.02,0.639,0.048
