Sample time,Sample number,Sample type,chromium_total_ugL-1,cobalt_total_ugL-1,copper_total_ugL-1,europium_total_ugL-1,gadolinium_totalrecoverable_ugL-1,gallium_total_ugL-1,germanium_total_ugL-1,hafnium_total_ugL-1,holmium_total_ugL-1,indium_total_ugL-1
2008-09-03 0:25,08PY001043,1,0.727,0.348,1.57,,,0.133,,,,
2008-09-17 22:15,08PY001061,1,0.553,0.259,1.49,,,0.085,,,,
2008-10-15 19:24,08PY001200,1,0.416,0.181,1.2,,,0.062,,,,
2008-11-26 20:55,08PY001397,1,0.664,0.261,1.49,,,0.089,,,,
2008-12-04 16:13,09PY000042,1,0.469,0.193,1.26,,,0.057,,,,
2009-01-15 16:17,09PY000066,1,1,0.408,2.18,,,0.124,,,,
2009-02-05 5:20,09PY000114,1,0.58,0.255,1.64,,,0.069,,,,
2009-05-13 20:20,09PY000544,1,5.2,2.34,7.58,,,0.757,,,,
2009-06-04 19:03,09PY000637,1,4.61,2.14,6.08,,,0.733,,,,
2009-07-06 19:49,09PY000775,1,2.75,1.33,3.87,,,0.441,,,,
2009-07-22 19:35,09PY000760,1,1.92,0.976,3.06,,,0.335,,,,
2009-08-20 19:03,09PY000945,1,1.81,0.899,3.16,,,0.329,,,,
2009-09-10 20:50,09PY000987,1,0.458,0.226,1.43,,,0.096,,,,
2009-10-08 17:30,09PY001179,1,1.04,0.624,3.43,,,0.189,,,,
2009-10-22 17:02,09PY001208,1,0.642,0.308,1.66,,,0.111,,,,
2009-11-08 13:15,09PY001278,1,1.11,0.569,2.53,,,0.185,,,,
2009-11-30 19:59,09PY001394,1,0.392,0.167,1.27,,,0.064,,,,
2009-12-21 16:00,10PY000028,1,0.675,0.337,1.86,,,0.096,,,,
2010-03-30 21:45,10PY005951,1,4.1,1.66,5.95,,,0.541,,,,
2010-04-15 22:15,10PY005983,1,2.23,0.856,3.31,,,0.314,,,,
2010-05-10 19:46,10PY005537,1,2.29,0.964,3.45,,,0.32,,,,
2010-06-08 19:30,10PY005402,1,2.64,1.17,3.61,,,0.47,,,,
2010-06-30 19:48,10PY005664,1,2.24,1.05,3.3,,,0.412,,,,
2010-07-13 20:25,10PY005613,1,1.6,0.717,2.33,,,0.293,,,,
2010-07-27 21:30,10PY006114,1,1.18,0.546,2.01,,,0.225,,,,
2010-08-12 21:38,10PY005782,1,1.16,0.539,2.04,,,0.218,,,,
2010-09-02 17:55,10PY005854,1,0.72,0.354,1.66,,,0.124,,,,
2010-09-17 17:30,10PY006123,1,0.53,0.245,1.32,,,0.083,,,,
2010-10-05 18:34,10PY006037,1,1.7,0.991,2.75,,,0.299,,,,
