Sample time,Sample number,Sample type,iridium_total_ugL-1,iron_total_ugL-1,lanthanum_total_ugL-1,lead_total_ugL-1,lithium_total_ugL-1,lutetium_total_ugL-1,manganese_total_ugL-1,molybdenum_total_ugL-1,neodymium_total_ugL-1,nickel_total_ugL-1
2008-09-03 0:25,08PY001043,1,,637,0.291,0.28,1.1,,20.7,0.549,,1.29
2008-09-17 22:15,08PY001061,1,,456,0.195,0.254,0.9,,18.5,0.662,,1.14
2008-10-15 19:24,08PY001200,1,,340,0.149,0.13,1,,14.3,0.691,,0.86
2008-11-26 20:55,08PY001397,1,,543,0.211,0.19,0.9,,19.2,0.638,,1.32
2008-12-04 16:13,09PY000042,1,,404,0.142,0.168,0.7,,17.1,0.648,,1.1
2009-01-15 16:17,09PY000066,1,,745,0.215,0.24,1.4,,31.4,0.871,,2.51
2009-02-05 5:20,09PY000114,1,,506,0.174,0.247,1.6,,27.6,1,,1.32
2009-05-13 20:20,09PY000544,1,,3770,1.82,1.52,2.3,,124,0.434,,9.09
2009-06-04 19:03,09PY000637,1,,3610,1.62,1.48,1.9,,109,0.657,,7.52
2009-07-06 19:49,09PY000775,1,,2330,1.07,1.24,2,,70.6,0.598,,4.58
2009-07-22 19:35,09PY000760,1,,1650,0.817,0.705,1.8,,54.1,0.587,,3.37
2009-08-20 19:03,09PY000945,1,,1660,0.713,0.734,1.7,,52.3,0.621,,3.17
2009-09-10 20:50,09PY000987,1,,436,0.154,0.512,1,,15.6,0.741,,0.94
2009-10-08 17:30,09PY001179,1,,1130,0.379,1.77,1.8,,29.7,0.785,,1.96
2009-10-22 17:02,09PY001208,1,,586,0.205,0.314,1.1,,22.5,0.617,,1.31
2009-11-08 13:15,09PY001278,1,,1020,0.461,0.552,1.1,,35.4,0.454,,2.16
2009-11-30 19:59,09PY001394,1,,336,0.126,0.151,0.6,,15.1,0.566,,1.08
2009-12-21 16:00,10PY000028,1,,618,0.169,0.454,0.8,,27.2,0.665,,1.46
2010-03-30 21:45,10PY005951,1,,3040,1.33,2.71,1.93,,79.5,0.639,,6.09
2010-04-15 22:15,10PY005983,1,,1810,0.711,0.654,1.47,,53.9,0.652,,3.59
2010-05-10 19:46,10PY005537,1,,1760,0.8,0.697,1.48,,61.8,0.613,,3.83
2010-06-08 19:30,10PY005402,1,,2140,0.851,0.689,1.79,,64.6,0.641,,4.29
2010-06-30 19:48,10PY005664,1,,1950,0.84,0.728,1.85,,56.5,0.535,,3.82
2010-07-13 20:25,10PY005613,1,,1310,0.558,0.4,1.41,,36.6,0.624,,2.58
2010-07-27 21:30,10PY006114,1,,1010,0.41,0.375,1.28,,32.6,0.657,,2.04
2010-08-12 21:38,10PY005782,1,,971,0.372,0.372,1.28,,30.1,0.644,,1.99
2010-09-02 17:55,10PY005854,1,,629,0.257,0.287,1.06,,23.4,0.691,,2.06
2010-09-17 17:30,10PY006123,1,,422,0.174,0.225,1.06,,18.2,0.684,,1.05
2010-10-05 18:34,10PY006037,1,,1620,0.796,0.914,1.83,,57.4,0.439,,2.86
2010-10-21 19:50,10PY006084,1,,297,0.145,0.202,1.16,,13.9,0.698,,0.78
2010-11-03 18:39,10PY006184,1,,452,0.181,0.226,0.78,,18.4,0.588,,1.01
2010-12-09 15:38,11PY005036,1,,621,0.226,0.53,1.33,,27.1,0.845,,1.46
2011-04-15 22:28,11PY005403,1,,1160,0.518,0.571,1.11,,37.9,0.67,,2.96
2011-05-04 21:38,11PY005439,1,,3130,1.44,1.34,1.99,,103,0.54,,7.48
2011-05-19 20:35,11PY005483,1,,7350,3.18,2.65,4.09,,235,0.414,,15.2
2011-05-31 23:35,11PY005587,1,,7820,3.47,3.3,4.16,,232,0.55,,16.2
2011-06-14 20:00,11PY005623,1,,4680,2.09,1.51,2.7,,139,0.692,,11.1
2011-06-28 19:45,11PY005665,1,,2850,1.25,2.46,1.93,,80.9,0.665,,6.08
2011-07-19 20:00,11PY005778,1,,2620,1.41,0.959,2.06,,75.1,0.502,,5.04
2011-08-04 19:45,11PY005830,1,,1860,0.894,0.688,1.48,,50.7,0.579,,3.75
2011-08-30 19:22,11PY005945,1,,2130,0.969,0.885,3.03,,61.6,0.522,,3.69
2011-09-15 21:40,11PY005964,1,,424,0.203,0.18,1.02,,17.6,0.856,,1.15
2011-09-29 18:49,11PY006055,1,,1630,0.675,0.631,1.6,,50.7,0.587,,3.2
2011-10-20 17:52,12PY005205,1,,283,0.147,0.108,0.89,,12.2,0.636,,0.78
2011-11-09 20:34,12PY005083,1,,296,0.137,0.143,2.37,,14.7,0.803,,0.88
2011-11-25 21:00,12PY005122,1,,611,0.21,0.255,1.15,,24.5,0.74,,1.43
2012-04-13 23:16,12PY005472,1,,1150,0.588,0.519,2.03,,37.4,0.864,,3.16
2012-04-27 21:40,13PY005381,1,,4690,2.11,1.62,2.84,,141,0.434,,9.88
