Sample time,Sample number,Sample type,niobium_total_ugL-1,palladium_total_ugL-1,platinum_total_ugL-1,praseodymium_total_ugL-1,rubidium_total_ugL-1,ruthenium_total_ugL-1,samarium_total_ugL-1,scandium_total_ugL-1,selenium_total_ugL-1,silver_total_ugL-1
2008-09-03 0:25,08PY001043,1,0.025,,0.001,,1.17,,,,0.06,0.003
2008-09-17 22:15,08PY001061,1,0.014,,0.001,,1.11,,,,0.08,0.003
2008-10-15 19:24,08PY001200,1,0.011,,0.001,,1.08,,,,0.08,0.002
2008-11-26 20:55,08PY001397,1,0.02,,0.001,,1.05,,,,0.09,0.004
2008-12-04 16:13,09PY000042,1,0.012,,0.001,,0.93,,,,0.08,0.003
2009-01-15 16:17,09PY000066,1,0.019,,0.001,,1.47,,,,0.12,0.008
2009-02-05 5:20,09PY000114,1,0.016,,0.002,,1.39,,,,0.14,0.006
2009-05-13 20:20,09PY000544,1,0.083,,0.001,,2.49,,,,0.11,0.026
2009-06-04 19:03,09PY000637,1,0.08,,0.001,,2.39,,,,0.11,0.02
2009-07-06 19:49,09PY000775,1,0.052,,0.001,,1.87,,,,0.1,0.01
2009-07-22 19:35,09PY000760,1,0.054,,0.001,,1.68,,,,0.07,0.008
2009-08-20 19:03,09PY000945,1,0.053,,0.001,,1.77,,,,0.07,0.01
2009-09-10 20:50,09PY000987,1,0.015,,0.001,,1.16,,,,0.07,0.002
2009-10-08 17:30,09PY001179,1,0.032,,0.001,,1.66,,,,0.08,0.005
2009-10-22 17:02,09PY001208,1,0.018,,0.001,,1.21,,,,0.09,0.004
2009-11-08 13:15,09PY001278,1,0.031,,0.001,,1.22,,,,0.06,0.006
2009-11-30 19:59,09PY001394,1,0.008,,0.001,,0.79,,,,0.07,0.003
2009-12-21 16:00,10PY000028,1,0.015,,0.001,,0.97,,,,0.1,0.004
2010-03-30 21:45,10PY005951,1,0.088,,0.001,,2.11,,,,0.12,0.02
2010-04-15 22:15,10PY005983,1,0.065,,0.001,,1.59,,,,0.12,0.012
2010-05-10 19:46,10PY005537,1,0.055,,0.001,,1.62,,,,0.1,0.012
2010-06-08 19:30,10PY005402,1,0.084,,0.001,,1.79,,,,0.09,0.014
2010-06-30 19:48,10PY005664,1,0.069,,0.001,,1.75,,,,0.08,0.013
2010-07-13 20:25,10PY005613,1,0.049,,0.001,,1.44,,,,0.08,0.007
2010-07-27 21:30,10PY006114,1,0.043,,0.001,,1.38,,,,0.08,
2010-08-12 21:38,10PY005782,1,0.038,,0.001,,1.36,,,,0.07,0.006
2010-09-02 17:55,10PY005854,1,0.022,,0.001,,1.21,,,,0.08,0.004
2010-09-17 17:30,10PY006123,1,0.014,,0.001,,1.12,,,,0.08,0.001
2010-10-05 18:34,10PY006037,1,0.046,,0.001,,1.81,,,,0.07,0.007
2010-10-21 19:50,10PY006084,1,0.012,,0.001,,1.2,,,,0.07,0.002
2010-11-03 18:39,10PY006184,1,0.014,,0.001,,0.998,,,,0.07,0.002
2010-12-09 15:38,11PY005036,1,0.018,,0.001,,1.4,,,,0.11,0.006
2011-04-15 22:28,11PY005403,1,0.034,,0.001,,1.43,,,,0.11,0.01
2011-05-04 21:38,11PY005439,1,0.067,,0.001,,2.27,,,,0.13,0.022
2011-05-19 20:35,11PY005483,1,0.133,,0.001,,4.09,,,,0.16,0.049
2011-05-31 23:35,11PY005587,1,0.161,,0.001,,4.08,,,,0.13,0.043
2011-06-14 20:00,11PY005623,1,0.089,,0.001,,2.77,,,,0.11,0.021
2011-06-28 19:45,11PY005665,1,0.051,,0.001,,2.02,,,,0.1,0.013
2011-07-19 20:00,11PY005778,1,0.097,,0.001,,2.06,,,,0.07,0.011
2011-08-04 19:45,11PY005830,1,0.079,,0.001,,1.75,,,,0.08,0.011
2011-08-30 19:22,11PY005945,1,0.076,,0.001,,1.97,,,,0.07,0.011
2011-09-15 21:40,11PY005964,1,0.012,,0.001,,1.13,,,,0.08,0.003
2011-09-29 18:49,11PY006055,1,0.047,,0.001,,1.72,,,,0.07,0.009
2011-10-20 17:52,12PY005205,1,0.01,,0.001,,0.976,,,,0.07,0.003
2011-11-09 20:34,12PY005083,1,0.007,,0.001,,1.18,,,,0.09,0.004
2011-11-25 21:00,12PY005122,1,0.025,,0.001,,1.29,,,,0.11,0.005
2012-04-13 23:16,12PY005472,1,0.043,,0.001,,1.96,,,,0.14,0.011
2012-04-27 21:40,13PY005381,1,0.095,,0.001,,3.01,,,,0.12,0.03
2012-05-17 18:30,12PY005701,1,0.051,,0.001,,1.74,,,,0.1,0.012
2012-06-21 20:07,12PY005663,1,0.055,,0.001,,2.44,,,,0.09,0.022
2012-07-13 20:40,13PY005385,1,0.052,,0.001,,1.61,,,,0.07,0.011
2012-07-26 19:28,12PY005870,1,0.082,,0.001,,2.13,,,,0.08,0.013
2012-08-09 19:33,12PY006042,1,0.041,,0.001,,1.47,,,,0.08,0.005
2012-08-24 19:15,12PY005877,1,0.027,,0.001,,1.35,,,,0.07,0.004
2012-09-07 19:15,12PY005881,1,0.017,,0.001,,1.15,,,,0.08,0.003
2012-09-19 19:50,12PY005912,1,0.013,,0.001,,1.25,,,,0.09,0.002
2012-10-23 18:50,13PY005033,1,0.029,,0.001,,0.907,,,,0.06,0.003
2012-11-22 18:35,13PY005109,1,0.014,,0.001,,0.843,,,,0.06,0.004
2012-12-05 16:20,13PY005138,1,0.009,,0.001,,0.794,,,,0.07,0.002
2013-02-28 22:50,13PY005358,1,0.017,,0.001,,1.2,,,,0.44,0.004
2013-04-12 21:10,13PY005472,1,0.125,,0.001,,2.64,,,,0.41,0.03
2013-05-03 19:30,13PY005579,1,0.047,,0.001,,2.34,,,,0.06,0.019
2013-05-17 19:00,13PY005613,1,0.057,,0.001,,3.57,,,,0.08,0.034
2013-05-31 19:15,13PY005650,1,0.047,,0.001,,1.53,,,,0.07,0.01
2013-06-14 18:25,13PY005747,1,0.08,,0.001,,1.89,,,,0.06,0.01
2013-06-27 18:20,13PY005784,1,0.08,,0.001,,1.96,,,,0.08,0.012
2013-07-11 18:35,13PY005819,1,0.076,,0.001,,2.03,,,,0.06,0.008
2013-07-25 18:00,13PY005856,1,0.028,,0.001,,1.33,,,,0.08,0.003
