Sample time,Sample number,Sample type,strontium_total_ugL-1,tellurium_total_ugL-1,terbium_total_ugL-1,thallium_total_ugL-1,tin_total_ugL-1,titanium_total_ugL-1,tungsten_total_ugL-1,uranium_total_ugL-1,vanadium_total_ugL-1,ytterbium_total_ugL-1
2008-09-03 0:25,08PY001043,1,65.1,,,0.006,0.006,,0.009,0.168,1.19,
2008-09-17 22:15,08PY001061,1,80.1,,,0.005,0.009,,0.009,0.196,0.987,
2008-10-15 19:24,08PY001200,1,89.2,,,0.004,0.007,,0.009,0.224,0.755,
2008-11-26 20:55,08PY001397,1,79.3,,,0.008,0.006,,0.009,0.197,0.975,
2008-12-04 16:13,09PY000042,1,73.6,,,0.008,0.008,,0.009,0.189,0.742,
2009-01-15 16:17,09PY000066,1,97.5,,,0.009,0.013,,0.011,0.179,1.49,
2009-02-05 5:20,09PY000114,1,115,,,0.007,0.02,,0.015,0.26,0.919,
2009-05-13 20:20,09PY000544,1,83.1,,,0.026,0.007,,0.005,0.34,6.65,
2009-06-04 19:03,09PY000637,1,83.4,,,0.021,0.008,,0.008,0.265,6.12,
2009-07-06 19:49,09PY000775,1,82.9,,,0.014,0.015,,0.013,0.244,3.78,
2009-07-22 19:35,09PY000760,1,84,,,0.013,0.012,,0.004,0.215,2.73,
2009-08-20 19:03,09PY000945,1,75.6,,,0.016,0.018,,0.011,0.197,2.6,
2009-09-10 20:50,09PY000987,1,75.6,,,0.007,0.012,,0.012,0.179,0.929,
2009-10-08 17:30,09PY001179,1,95.3,,,0.015,0.088,,0.019,0.216,1.69,
2009-10-22 17:02,09PY001208,1,70.8,,,0.013,0.013,,0.01,0.17,1.13,
2009-11-08 13:15,09PY001278,1,58.5,,,0.01,0.006,,0.006,0.161,1.55,
2009-11-30 19:59,09PY001394,1,55.4,,,0.009,0.009,,0.009,0.125,0.698,
2009-12-21 16:00,10PY000028,1,62.9,,,0.006,0.017,,0.013,0.15,1.04,
2010-03-30 21:45,10PY005951,1,89.9,,,0.02,0.041,,0.011,0.288,4.92,
2010-04-15 22:15,10PY005983,1,85.5,,,0.015,0.019,,0.008,0.252,2.76,
2010-05-10 19:46,10PY005537,1,81.9,,,0.013,0.013,,0.008,0.244,2.85,
2010-06-08 19:30,10PY005402,1,76.3,,,0.02,0.011,,0.007,0.223,3.69,
2010-06-30 19:48,10PY005664,1,74,,,0.015,0.01,,0.008,0.222,3.17,
2010-07-13 20:25,10PY005613,1,71,,,0.01,0.008,,0.008,0.186,2.42,
2010-07-27 21:30,10PY006114,1,72.8,,,0.008,0.009,,0.008,0.176,1.86,
2010-08-12 21:38,10PY005782,1,69.6,,,0.008,0.011,,0.011,0.164,1.75,
2010-09-02 17:55,10PY005854,1,74.6,,,0.006,0.008,,0.011,0.184,1.13,
2010-09-17 17:30,10PY006123,1,77.8,,,0.007,0.009,,0.01,0.179,0.811,
2010-10-05 18:34,10PY006037,1,75.7,,,0.014,0.007,,0.005,0.236,2.18,
2010-10-21 19:50,10PY006084,1,80.3,,,0.004,0.024,,0.01,0.209,0.632,
2010-11-03 18:39,10PY006184,1,62.7,,,0.006,0.01,,0.009,0.151,0.811,
2010-12-09 15:38,11PY005036,1,95.3,,,0.039,0.016,,0.015,0.208,1.07,
2011-04-15 22:28,11PY005403,1,79.5,,,0.01,0.467,,0.011,0.231,2.03,
2011-05-04 21:38,11PY005439,1,88,,,0.024,,,0.009,0.285,5.3,
2011-05-19 20:35,11PY005483,1,96.1,,,0.045,0.019,,0.008,0.414,12.1,
2011-05-31 23:35,11PY005587,1,107,,,0.047,0.016,,0.008,0.427,12.5,
2011-06-14 20:00,11PY005623,1,86.7,,,0.026,0.014,,0.01,0.307,7.19,
2011-06-28 19:45,11PY005665,1,77.7,,,0.018,0.014,,0.011,0.239,4.22,
2011-07-19 20:00,11PY005778,1,80.6,,,0.018,0.007,,0.007,0.239,4.13,
2011-08-04 19:45,11PY005830,1,79.1,,,0.014,0.009,,0.005,0.213,3.23,
2011-08-30 19:22,11PY005945,1,82,,,0.016,0.007,,0.008,0.231,3.29,
2011-09-15 21:40,11PY005964,1,78.9,,,0.009,0.006,,0.01,0.199,0.974,
2011-09-29 18:49,11PY006055,1,77.3,,,0.012,0.01,,0.009,0.218,2.77,
2011-10-20 17:52,12PY005205,1,72.8,,,0.005,0.005,,0.009,0.18,0.679,
2011-11-09 20:34,12PY005083,1,92.9,,,0.005,0.01,,0.008,0.205,0.632,
2011-11-25 21:00,12PY005122,1,86,,,0.006,0.012,,0.013,0.188,1.22,
2012-04-13 23:16,12PY005472,1,126,,,0.013,0.025,,0.013,0.266,2.33,
2012-04-27 21:40,13PY005381,1,77,,,0.03,0.013,,0.009,0.302,8.15,
2012-05-17 18:30,12PY005701,1,74.5,,,0.014,0.01,,0.008,0.243,3.69,
2012-06-21 20:07,12PY005663,1,80.4,,,0.026,0.006,,0.01,0.315,5.1,
2012-07-13 20:40,13PY005385,1,68.6,,,0.013,0.006,,0.008,0.204,2.76,
2012-07-26 19:28,12PY005870,1,73.3,,,0.017,0.008,,0.006,0.228,3.89,
2012-08-09 19:33,12PY006042,1,73,,,0.01,0.006,,0.008,0.186,1.91,
2012-08-24 19:15,12PY005877,1,72.9,,,0.013,0.005,,0.009,0.193,1.6,
2012-09-07 19:15,12PY005881,1,80.3,,,0.017,0.007,,0.008,0.209,0.934,
2012-09-19 19:50,12PY005912,1,93.1,,,0.026,0.005,,0.008,0.218,0.914,
