Sample time,Sample number,Sample type,yttrium_total_ugL-1,zinc_total_ugL-1,zirconium_total_ugL-1
2008-09-03 0:25,08PY001043,1,0.258,1.76,
2008-09-17 22:15,08PY001061,1,0.196,1.59,
2008-10-15 19:24,08PY001200,1,0.146,1.22,
2008-11-26 20:55,08PY001397,1,0.221,1.6,
2008-12-04 16:13,09PY000042,1,0.167,1.25,
2009-01-15 16:17,09PY000066,1,0.268,2.99,
2009-02-05 5:20,09PY000114,1,0.193,2.73,
2009-05-13 20:20,09PY000544,1,1.77,11.6,
2009-06-04 19:03,09PY000637,1,1.49,10.3,
2009-07-06 19:49,09PY000775,1,0.953,6.16,
2009-07-22 19:35,09PY000760,1,0.661,4.94,
2009-08-20 19:03,09PY000945,1,0.63,5.28,
2009-09-10 20:50,09PY000987,1,0.148,1.81,
2009-10-08 17:30,09PY001179,1,0.329,11.7,
2009-10-22 17:02,09PY001208,1,0.218,2.6,
2009-11-08 13:15,09PY001278,1,0.43,3.46,
2009-11-30 19:59,09PY001394,1,0.136,2,
2009-12-21 16:00,10PY000028,1,0.189,3.56,
2010-03-30 21:45,10PY005951,1,1.26,11.3,
2010-04-15 22:15,10PY005983,1,0.638,5.6,
2010-05-10 19:46,10PY005537,1,0.73,5.2,
2010-06-08 19:30,10PY005402,1,0.785,5.8,
2010-06-30 19:48,10PY005664,1,0.723,5.3,
2010-07-13 20:25,10PY005613,1,0.461,3.5,
2010-07-27 21:30,10PY006114,1,0.373,3.1,
2010-08-12 21:38,10PY005782,1,0.333,2.9,
2010-09-02 17:55,10PY005854,1,0.23,2.1,
2010-09-17 17:30,10PY006123,1,0.16,1.7,
2010-10-05 18:34,10PY006037,1,0.646,4.4,
2010-10-21 19:50,10PY006084,1,0.124,1.3,
2010-11-03 18:39,10PY006184,1,0.177,1.8,
2010-12-09 15:38,11PY005036,1,0.235,2.7,
2011-04-15 22:28,11PY005403,1,0.478,5.3,
2011-05-04 21:38,11PY005439,1,1.37,10.3,
2011-05-19 20:35,11PY005483,1,3.12,21.2,
2011-05-31 23:35,11PY005587,1,3.03,21.9,
2011-06-14 20:00,11PY005623,1,2.15,12.8,
2011-06-28 19:45,11PY005665,1,1.25,9.1,
2011-07-19 20:00,11PY005778,1,1.08,7.1,
2011-08-04 19:45,11PY005830,1,0.765,5.2,
2011-08-30 19:22,11PY005945,1,0.837,5.5,
2011-09-15 21:40,11PY005964,1,0.197,1.5,
2011-09-29 18:49,11PY006055,1,0.641,5.2,
2011-10-20 17:52,12PY005205,1,0.145,1,
2011-11-09 20:34,12PY005083,1,0.161,1.3,
2011-11-25 21:00,12PY005122,1,0.25,2.5,
2012-04-13 23:16,12PY005472,1,0.535,4.5,
2012-04-27 21:40,13PY005381,1,1.99,14.2,
2012-05-17 18:30,12PY005701,1,1.03,6.4,
2012-06-21 20:07,12PY005663,1,1.89,10.7,
2012-07-13 20:40,13PY005385,1,0.798,4.9,
2012-07-26 19:28,12PY005870,1,0.917,6.7,
2012-08-09 19:33,12PY006042,1,0.421,3.3,
2012-08-24 19:15,12PY005877,1,0.356,2.4,
2012-09-07 19:15,12PY005881,1,0.184,1.5,
2012-09-19 19:50,12PY005912,1,0.169,1.4,
2012-10-23 18:50,13PY005033,1,0.179,1.3,
2012-11-22 18:35,13PY005109,1,0.176,2.9,
2012-12-05 16:20,13PY005138,1,0.153,1.7,
2013-02-28 22:50,13PY005358,1,0.25,3,
2013-04-12 21:10,13PY005472,1,1.49,11.3,
2013-05-03 19:30,13PY005579,1,1.67,10.5,
2013-05-17 19:00,13PY005613,1,2.91,18.6,
2013-05-31 19:15,13PY005650,1,0.879,5,
2013-06-14 18:25,13PY005747,1,1.02,6.3,
2013-06-27 18:20,13PY005784,1,1.02,6.7,
2013-07-11 18:35,13PY005819,1,0.78,5.3,
2013-07-25 18:00,13PY005856,1,0.337,2.7,
2013-08-28 19:33,13PY005947,1,0.235,2.1,
2013-09-04 19:10,13PY005962,1,0.285,2.1,
2013-09-17 19:25,13PY005994,1,0.185,1.7,
2013-10-02 20:45,13PY006026,1,0.179,1.8,
2014-05-07 19:30,14PY005449,1,2.3,13.2,
2014-05-28 19:10,15PY005059,1,2.54,15.9,
2014-06-12 20:35,15PY005078,1,1.25,7.4,
2014-06-26 19:00,14PY005599,1,0.976,5.8,
2014-07-07 19:15,14PY005602,1,0.694,4.7,
2014-08-07 20:00,14PY005616,1,0.542,3.9,
2014-08-21 19:33,14PY005631,1,0.462,3.5,
2014-09-04 18:57,14PY005759,1,0.395,3,
2014-09-18 19:22,14PY005799,1,0.227,1.8,
2014-10-02 20:00,14PY005846,1,0.153,1.3,
2014-10-29 19:10,14PY005926,1,0.251,2.1,
2014-11-20 19:45,14PY006002,1,0.211,1.8,
2014-12-15 19:50,15PY005151,1,0.173,1.8,
2015-01-21 22:00,15PY005242,1,0.231,2.2,
2015-02-13 19:05,15PY005461,1,0.188,1.6,
2015-03-26 10:04,15PY005597,1,1.64,10.7,
2015-04-16 20:50,15PY005838,1,0.782,6.9,
2015-04-30 20:45,15PY005887,1,0.932,5.7,
2015-05-12 20:00,15PY005985,1,0.454,2.7,
2015-05-28 19:48,15PY006049,1,1.66,9.6,
2015-06-10 20:14,16PY005083,1,0.782,4.5,
2015-06-25 19:55,16PY005123,1,0.844,6,
2015-07-09 19:40,16PY005154,1,0.548,3.5,
2015-07-23 20:00,16PY005192,1,0.268,2.1,
2015-08-06 21:00,16PY005223,1,0.18,1.4,
2015-08-20 18:51,16PY005256,1,0.133,0.9,
2015-09-03 18:05,16PY005282,1,0.127,1.2,
2015-09-17 19:15,16PY005316,1,0.154,1.2,
2015-10-02 19:00,16PY005351,1,0.254,1.6,
2015-10-15 19:20,16PY005433,1,0.151,1.1,
2015-11-10 20:00,16PY005503,1,0.327,3,
2015-11-26 21:45,16PY005546,1,0.21,1.5,
2015-12-09 20:06,16PY005620,1,0.19,2.1,
2015-12-22 20:40,16PY005613,1,0.125,1.4,
2016-02-02 20:35,16PY005703,1,0.188,2.3,
2016-03-14 19:09,16PY005874,1,0.397,3.9,
2016-04-14 18:45,16PY005912,1,0.694,4.5,
2016-04-28 18:45,16PY005942,1,1.18,7.7,
2016-05-11 19:00,16PY005966,1,0.478,3.2,
2016-05-31 18:30,16PY006020,1,0.768,15.5,
2016-06-22 19:00,16PY006230,1,0.689,4.6,
2016-07-06 18:55,16PY006062,1,0.327,2.4,
2016-07-20 19:35,16PY006092,1,2.74,19.2,
2016-08-03 18:45,16PY006132,1,0.38,2.6,
2016-08-17 19:12,16PY006177,1,0.503,3.6,
2016-09-01 18:30,17PY005024,1,0.293,2.3,
2016-09-12 20:00,17PY005036,1,0.242,1.7,
2016-09-28 18:55,17PY005082,1,0.537,3.6,
2016-10-21 18:05,17PY005131,1,0.239,1.9,
2016-11-04 18:10,17PY005170,1,0.241,1.8,
2016-11-29 20:15,17PY005580,1,0.228,2,
2017-04-03 22:05,17PY005650,1,0.261,2.4,
2017-05-11 19:00,17PY005772,1,3.08,21.5,
2017-05-29 18:30,17PY005915,1,2.77,18.1,
2017-06-13 20:30,17PY005948,1,1.28,8.1,
2017-07-07 18:30,17PY006139,1,0.693,4.3,
2017-07-19 20:00,17PY006163,1,0.388,2.8,
2017-08-16 18:00,17PY006243,1,0.249,1.7,
2017-09-07 19:40,17PY006293,1,0.25,1.8,
2017-11-01 20:00,17PY006576,1,1.18,7.6,
2017-12-06 21:55,18PY005015,1,0.235,1.7,
2018-01-31 19:15,18PY005948,1,0.184,2,
2018-05-10 19:10,18PY005727,1,2.69,16.8,
2018-05-30 21:10,18PY005771,1,1.3,8.6,
2018-06-21 18:17,18PY005860,1,0.534,3.5,
2018-07-05 18:37,18PY005888,1,0.489,3,
2018-07-19 18:30,18PY006022,1,0.25,1.6,
2018-08-01 18:47,18PY006043,1,0.246,1.4,
2018-08-15 17:10,18PY006071,1,0.606,6.6,
2018-08-30 18:15,18PY006141,1,0.16,1.1,
2018-09-13 18:10,18PY006183,1,0.137,1.1,
2018-09-27 19:25,18PY006223,1,0.112,0.9,
2018-10-10 18:24,18PY006286,1,0.145,1.2,
2018-11-22 20:46,19PY000157,1,0.239,2.2,
2019-04-12 19:39,19PY000392,1,1.72,12.5,
2019-04-23 19:30,19PY000504,1,0.692,4.6,
2019-05-13 20:33,19PY000553,1,0.351,2.1,
2019-06-04 20:50,19PY000618,1,1.91,12.7,
2019-06-10 19:45,19PY000630,1,0.735,6.3,
2019-06-26 20:00,19PY000738,1,0.461,2.9,
2019-07-08 20:10,19PY000760,1,0.491,3.3,
2019-07-31 20:10,19PY000853,1,1.29,8.2,
2019-08-12 21:35,19PY000874,1,0.772,4.7,
2019-08-28 18:41,19PY000945,1,0.754,4.9,
2019-09-03 19:50,19PY000954,1,0.23,1.3,
2019-09-16 20:40,19PY000989,1,0.336,2.4,0.23
2019-09-30 20:00,19PY001024,1,0.596,4.1,0.37
2019-10-23 19:45,19PY001102,1,0.24,2,0.14
2019-11-12 20:14,19PY001363,1,0.1,0.3,0.13
2020-02-10 21:56,20PY000180,1,0.196,1.7,0.09
2020-11-25 19:40,21PY000633,1,0.253,1.8,
2020-12-10 20:00,21PY000649,1,0.239,2.1,
2021-07-06 17:30,21PY000650,1,1.76,11.8,
2021-08-03 17:18,21PY000684,1,0.411,2.8,
2021-09-13 17:37,21PY000786,1,0.123,0.9,
2021-10-11 16:50,21PY000859,1,0.193,1.3,
2021-11-01 17:25,21PY000959,1,0.31,2.1,
2021-12-09 18:25,21PY001042,1,0.572,4.6,
2022-02-01 18:36,22PY000093,1,0.213,1.5,
2022-02-23 20:40,22PY000138,1,0.229,2,
2022-03-07 18:45,22PY000168,1,0.226,2.1,
2022-04-21 18:35,22PY000346,1,0.433,3.1,
2022-05-16 18:30,22PY000432,1,1.54,10.8,
2022-06-06 18:05,22PY000483,1,1.81,11.9,
