Sample time,Sample number,Sample type,DOC_mgL-1,specificconductance_uSeiCm-1
2010-01-06 19:10,10PY005039,1,2.7,159
2010-01-19 19:35,10PY005058,1,4.8,145
2010-03-02 19:45,10PY005156,1,2.5,159
2010-03-16 19:49,10PY005208,1,3.3,158
2010-03-29 17:05,10PY005235,1,5.3,139
2010-04-06 17:30,10PY005956,1,5.7,136
2010-04-20 17:30,10PY005993,1,3.7,138
2010-05-04 17:50,18PY005337,1,4.2,123
2010-05-18 18:30,10PY005350,1,3.6,109
2010-05-31 17:40,10PY005378,1,3.5,107
2010-06-15 16:10,10PY005339,1,1.6,96
2010-06-28 16:24,10PY005598,1,1.7,96
2010-07-13 16:04,10PY005618,1,1.7,100
2010-07-27 1:18,10PY005648,1,1.6,106
2010-08-09 15:25,10PY005758,1,1.9,105
2010-08-23 15:25,10PY005845,1,0.5,105
2010-09-20 17:51,10PY005775,1,1.9,127
2010-10-04 16:20,10PY006036,1,2.6,129
2010-10-18 17:00,10PY006148,1,1.9,133
2010-11-02 16:03,10PY006182,1,2.5,116
2010-11-17 16:07,10PY006205,1,2.5,128
2010-11-29 16:35,10PY006227,1,3,148
2010-12-13 16:40,11PY005044,1,,122
2011-01-04 16:09,11PY005080,1,2.4,151
2011-01-17 16:30,11PY005105,1,2.4,97
2011-01-31 16:25,11PY005142,1,2.4,151
2011-02-14 16:25,11PY005188,1,2.5,149
2011-03-02 16:08,11PY005245,1,2.6,165
2011-03-14 16:35,11PY005263,1,2.7,155
2011-04-11 16:10,11PY005370,1,4,148
2011-04-25 16:40,11PY005415,1,6.7,144
2011-05-09 16:29,11PY005455,1,9.1,115
2011-05-24 16:00,11PY005550,1,7.6,109
2011-06-06 16:05,11PY005595,1,5.2,103
2011-06-22 16:10,11PY005650,1,3.2,99
2011-07-04 16:09,11PY005683,1,3.2,101
2011-07-18 15:45,11PY005774,1,5.2,101
2011-08-02 16:05,11PY005942,1,3.7,105
2011-08-15 16:05,11PY005841,1,3,108
2011-08-29 15:32,11PY005873,1,3.1,111
2011-09-12 15:35,11PY005953,1,2.7,127
2011-09-28 16:08,11PY006052,1,,119
2011-10-13 16:08,11PY006098,1,2.7,112
2011-10-26 16:08,12PY005036,1,2.82,119
2011-11-09 16:04,12PY005086,1,3.47,140
2011-11-21 16:35,12PY005114,1,3.37,135
2011-12-05 16:35,12PY005099,1,2.91,143
2011-12-19 16:15,12PY005161,1,3.05,148
2012-01-02 16:05,12PY005185,1,3.17,143
2012-01-23 16:50,12PY005224,1,3.89,149
2012-01-30 16:05,12PY005242,1,3.64,144
2012-02-13 16:15,12PY005287,1,2.6,153
2012-02-27 16:25,12PY005315,1,3.39,154
2012-03-12 16:05,12PY005340,1,3.28,151
2012-03-26 16:15,12PY005435,1,3.18,156
2012-04-09 16:15,12PY005455,1,4.11,155
2012-04-24 16:10,12PY005485,1,9.75,114
2012-05-06 16:05,12PY005510,1,7.27,111
2012-05-22 19:40,12PY005529,1,4.17,104
2012-06-04 16:20,12PY005556,1,3.07,100
2012-06-18 16:10,12PY005569,1,3.65,96.8
2012-07-05 13:45,12PY005847,1,3.16,100
2012-07-16 15:05,12PY005856,1,1.9,96.5
2012-07-30 15:15,12PY005871,1,2.34,99.9
2012-08-13 14:51,12PY006044,1,2.34,104
2012-08-27 15:04,12PY006071,1,2.42,108
2012-09-10 15:15,12PY006097,1,1.88,121
