Sample time,Sample number,Sample type,palladium_total_ugL-1,platinum_total_ugL-1,praseodymium_total_ugL-1,rubidium_total_ugL-1,ruthenium_total_ugL-1,samarium_total_ugL-1,scandium_total_ugL-1,selenium_total_ugL-1,silver_total_ugL-1,strontium_total_ugL-1
2000-01-04 22:10,00PY000071,1,,,,,,,,,0.1,101
2000-01-07 18:10,00PY000087,1,,,,,,,,,0.1,98.1
2000-01-18 22:00,00PY000190,1,,,,,,,,,0.1,106
2000-02-01 22:00,00PY000395,1,,,,,,,,,0.1,107
2000-02-15 22:00,00PY000603,1,,,,,,,,,0.1,104
2000-02-29 22:00,00PY000898,1,,,,,,,,,0.1,106
2000-03-14 22:00,00PY001262,1,,,,,,,,,0.1,106
2000-03-28 22:00,00PY001590,1,,,,,,,,,0.1,111
2000-04-11 22:00,00PY001851,1,,,,,,,,,0.1,98.9
2000-04-25 22:00,00PY002119,1,,,,,,,,,0.1,121
2000-05-09 22:00,00PY002395,1,,,,,,,,,0.1,92.1
2000-05-23 22:00,00PY002739,1,,,,,,,,,0.1,99.3
2000-06-06 20:00,00PY003099,1,,,,,,,,,0.1,90.1
2000-06-20 22:00,00PY003493,1,,,,,,,,,0.1,89.2
2000-07-04 22:00,00PY003785,1,,,,,,,,,0.1,86.8
2000-08-16 21:30,00PY004844,1,,,,,,,,,0.1,84.8
2000-08-29 22:00,00PY005136,1,,,,,,,,,0.1,91.9
2000-09-12 22:00,00PY005490,1,,,,,,,,,0.1,98.4
2000-09-26 22:00,00PY005900,1,,,,,,,,,0.1,95.5
2000-10-10 22:00,00PY006267,1,,,,,,,,,0.1,98.3
2000-10-24 22:00,00PY006714,1,,,,,,,,,0.1,98.7
2000-11-07 22:00,00PY007075,1,,,,,,,,,0.1,99.6
2000-11-21 22:00,00PY007412,1,,,,,,,,,0.1,98.7
2000-12-05 22:00,00PY007742,1,,,,,,,,,0.1,92.4
2000-12-19 22:00,00PY008100,1,,,,,,,,,0.1,111
2001-01-02 22:00,01PY000008,1,,,,,,,,,0.1,106
2001-01-16 22:00,01PY000192,1,,,,,,,,,0.1,104
2001-01-30 22:00,01PY000430,1,,,,,,,,,0.1,107
2001-02-06 22:00,01PY000538,1,,,,,,,,,0.1,105
2001-02-13 22:00,01PY000645,1,,,,,,,,,0.1,108
2001-02-20 22:00,01PY000777,1,,,,,,,,,0.1,109
2001-02-27 22:00,01PY000967,1,,,,,,,,,0.1,112
2001-03-13 22:00,01PY001234,1,,,,,,,,,0.1,107
2001-03-27 22:00,01PY001592,1,,,,,,,,,0.1,108
2001-04-10 22:00,01PY001906,1,,,,,,,,,0.1,113
2001-04-24 22:00,01PY002145,1,,,,,,,,,0.1,98.9
2001-05-08 22:00,01PY002500,1,,,,,,,,,0.2,85
2001-05-22 22:00,01PY002838,1,,,,,,,,,0.1,85
2001-06-05 22:00,01PY003186,1,,,,,,,,,0.1,93.3
2001-06-19 22:00,01PY003617,1,,,,,,,,,0.1,86.8
2001-07-10 22:00,01PY004034,1,,,,,,,,,0.1,86.2
2001-07-17 22:00,01PY004235,1,,,,,,,,,0.1,87.3
2001-07-31 22:00,01PY004598,1,,,,,,,,,0.1,91.9
2001-08-14 22:00,01PY004881,1,,,,,,,,,0.1,89.4
2001-08-28 22:00,01PY005200,1,,,,,,,,,0.1,87.1
2001-09-04 22:00,01PY005355,1,,,,,,,,,0.1,92.7
2001-09-25 22:00,01PY005890,1,,,,,,,,,0,103
2001-10-09 22:00,01PY006307,1,,,,,,,,,0.1,102
2001-10-23 22:00,01PY006750,1,,,,,,,,,0,93.3
2001-11-06 22:00,01PY007140,1,,,,,,,,,0.1,96.7
2001-11-20 22:00,01PY007559,1,,,,,,,,,0.1,78.1
2001-12-04 22:00,01PY007832,1,,,,,,,,,0,95.3
2001-12-06 19:00,01PY007882,1,,,,,,,,,0,98.5
2001-12-18 22:00,01PY008069,1,,,,,,,,,0.1,92.6
2002-01-02 22:00,02PY000004,1,,,,,,,,,0.1,103
2002-01-16 22:00,02PY000112,1,,,,,,,,,0.2,102
2002-01-29 22:00,02PY000220,1,,,,,,,,,0.1,104
2002-02-12 22:00,02PY000313,1,,,,,,,,,0.1,102
2002-02-26 22:00,02PY000392,1,,,,,,,,,0.1,101
2002-03-12 22:00,02PY000489,1,,,,,,,,,0.1,102
2002-03-26 22:00,02PY000570,1,,,,,,,,,0.1,111
2002-04-09 22:00,03PY000129,1,,,,,,,,,0.1,101
2002-04-23 22:00,03PY000192,1,,,,,,,,,0.1,105
2002-05-21 22:00,03PY000220,1,,,,,,,,,0.1,88.1
2002-06-04 22:00,03PY000240,1,,,,,,,,,0.1,90
2002-06-18 22:00,03PY000266,1,,,,,,,,,0.1,91.4
2002-07-02 22:00,03PY000288,1,,,,,,,,,0.1,86.5
2002-07-16 22:00,03PY000412,1,,,,,,,,0.1,0.1,84.1
2002-07-30 22:00,03PY000339,1,,,,,,,,0.1,0.1,78.5
2002-08-13 22:00,03PY000361,1,,,,,,,,,0.2,84.2
2002-08-27 22:00,03PY000477,1,,,,,,,,,0.1,83.5
2002-09-10 22:00,03PY000533,1,,,,,,,,,0.1,87.3
2002-09-24 22:00,03PY000709,1,,,,,,,,,0.2,98.7
2002-10-08 22:00,04PY002050,1,,,,,,,,,0.1,90.6
2002-10-22 22:00,03PY000596,1,,,,,,,,0.1,0.1,97.5
2002-11-05 22:00,03PY000655,1,,,,,,,,0.1,0.1,103
2002-11-19 22:00,03PY000697,1,,,,,,,,0.1,0.1,95
2002-12-04 0:00,03PY000608,1,,,,,,,,,0.1,96.5
2002-12-17 22:00,03PY000751,1,,,,,,,,,0.1,101
2003-01-02 22:00,03PY001406,1,,,,,,,,,0.1,108
2003-01-14 22:00,03PY000797,1,,,,,,,,,0.1,103
2003-01-28 22:00,04PY002039,1,,,,,,,,,0.1,0
2003-02-11 22:00,04PY002049,1,,,,,,,,,0.1,103
