Sample time,Sample number,Sample type,specificconductance_useicm-1
1979-07-17 20:30,79PY000008,1,102
1979-10-10 17:30,79PY000031,1,128
1979-10-31 19:30,79PY000032,1,132
1979-11-20 21:05,79PY000040,1,150
1979-12-20 21:00,79PY000049,1,88.3
1980-02-08 22:14,80PY000149,1,160
1980-03-03 22:10,80PY000151,1,145
1980-03-26 21:20,80PY000155,1,159
1980-04-23 22:13,80PY000213,1,111
1980-05-27 21:40,80PY000222,1,103
1980-06-05 22:14,80PY000229,1,104
1980-06-17 22:31,80PY000231,1,97.3
1980-07-03 0:25,80PY000235,1,105
1980-07-28 20:55,80PY000245,1,116
1980-09-16 21:05,80PY000260,1,125
1980-10-29 16:22,80PY000286,1,131
1980-12-08 23:07,80PY000950,1,131
1981-01-02 20:24,81PY000007,1,120
1981-01-21 21:38,81PY000018,1,135
1981-03-12 21:11,81PY000056,1,143
1981-03-31 19:01,81PY000065,1,149
1981-05-05 18:54,81PY000098,1,122
1981-06-25 19:23,81PY000140,1,107
1981-08-13 19:45,81PY000169,1,96
1981-10-02 22:14,81PY000208,1,108
1981-10-15 18:00,81PY000222,1,125
1981-11-03 23:40,81PY000234,1,123
1982-04-20 21:05,82PY000001,1,152
1982-05-05 16:56,82PY000002,1,124.2
1982-05-14 15:55,82PY000003,1,112
1982-06-07 20:39,82PY000004,1,86
1982-11-24 18:30,82PY000005,1,134
1983-02-17 21:13,83PY000084,1,146
1983-04-19 20:34,83PY000248,1,127
1984-04-05 20:15,84PY000018,1,127.1
1984-04-12 19:45,84PY000067,1,125.4
1984-04-19 18:00,84PY000219,1,128.5
1984-04-26 18:15,84PY000257,1,121.9
1984-05-03 17:30,84PY000501,1,125.8
1984-05-10 18:30,84PY000531,1,123.5
1984-05-17 18:30,84PY000613,1,117
1984-05-24 18:50,84PY000716,1,113
1984-05-30 16:00,84PY001010,1,106
1984-06-07 16:45,84PY010340,1,110
1984-06-14 20:30,84PY001158,1,102
1984-06-18 23:31,84PY001263,1,107
1984-06-21 19:00,84PY001213,1,101
1984-06-28 18:30,84PY001264,1,59.6
1984-07-03 21:15,84PY001337,1,78.6
1984-07-12 17:10,84PY001430,1,74.5
1984-07-19 16:00,84PY001530,1,77.5
1984-07-26 20:00,84PY001581,1,79.3
1984-08-02 19:45,84PY001726,1,88.4
1984-08-08 13:30,84PY001760,1,94.9
1984-08-14 20:34,84PY002160,1,103
1984-08-16 19:00,84PY001871,1,103
1984-08-23 20:00,84PY001953,1,106
1984-08-30 21:00,84PY002029,1,112
1984-09-06 20:00,84PY002061,1,113
1984-09-13 21:00,84PY002074,1,116
1984-09-20 19:00,84PY002183,1,120
1984-09-26 18:00,84PY002240,1,121
1984-10-04 22:00,84PY002404,1,130
1984-10-11 20:00,84PY002493,1,106
1984-10-18 20:00,84PY002507,1,118
1984-10-23 20:39,84PY002533,1,123
1984-10-25 17:00,84PY002536,1,123
1984-11-01 22:30,84PY002613,1,120
1984-11-15 21:00,84PY002674,1,136
1984-11-22 21:30,84PY002782,1,144
1984-11-29 21:00,84PY002806,1,147
1984-12-13 22:30,84PY002850,1,148
1984-12-20 22:00,84PY002880,1,139
1984-12-28 22:30,84PY002897,1,156
1985-01-03 19:30,85PY002903,1,162
1985-01-09 21:00,85PY002921,1,160
1985-01-17 21:00,84PY003020,1,152
1985-01-24 22:00,85PY003070,1,155
1985-01-31 22:00,85PY003128,1,158
1985-02-07 21:00,85PY003141,1,164
1985-02-14 23:00,85PY003207,1,158
1985-02-22 23:00,85PY003286,1,164
1985-02-27 18:30,85PY003281,1,165
1985-03-01 22:12,85PY003298,1,155
1985-03-07 22:00,85PY003307,1,158
1985-03-14 21:15,85PY003304,1,155
1985-03-21 20:00,85PY003394,1,155
1985-03-28 22:00,85PY000016,1,160
1985-04-01 19:10,85PY000038,1,153
1985-04-15 18:45,85PY000142,1,122
1985-04-29 16:15,85PY000355,1,130
1985-05-13 18:15,85PY000606,1,122
1985-05-27 19:50,85PY000673,1,106
1985-06-13 21:15,85PY001031,1,99.6
1985-06-24 18:15,85PY001062,1,102
1985-07-08 22:00,85PY001164,1,101
1985-07-22 17:30,85PY001241,1,102
1985-08-06 16:30,85PY001331,1,103
1985-08-19 17:45,85PY001406,1,107
1985-09-03 17:44,85PY001532,1,114
1985-09-18 17:32,85PY001736,1,130
1985-09-30 20:30,85PY001897,1,126
1985-10-15 19:55,85PY002119,1,107
1985-10-28 19:52,85PY002150,1,106
1985-11-12 19:30,85PY002254,1,124
1985-11-25 20:00,85PY002320,1,144
1985-12-09 19:50,85PY002360,1,161
1985-12-24 19:21,85PY002413,1,159
1986-01-06 18:23,86PY002429,1,149
1986-01-20 20:11,86PY002460,1,122
1986-02-03 19:19,86PY002494,1,144
1986-02-18 18:00,86PY002666,1,158
1986-03-03 19:42,86PY002814,1,128
1986-03-17 20:30,86PY002875,1,141
1986-04-01 19:09,86PY000038,1,124
1986-04-14 19:25,86PY000145,1,120
1986-04-24 22:23,86PY000406,1,120
1986-05-12 19:00,86PY000470,1,119
1986-05-16 22:45,86PY000479,1,120
1986-05-26 19:30,86PY000676,1,108
1986-06-09 19:54,86PY000851,1,98.8
1986-06-23 19:26,86PY000942,1,99.7
1986-07-07 19:30,86PY001019,1,98.1
1986-07-21 19:00,86PY001064,1,101
1986-08-05 18:30,86PY001155,1,103
1986-08-18 18:50,86PY001215,1,107
1986-09-02 19:00,86PY001289,1,110
1986-09-15 19:00,86PY001362,1,117
1986-09-29 18:00,86PY001419,1,131
1986-10-14 19:00,86PY001542,1,129
1986-10-28 19:00,86PY001612,1,111
1986-11-10 19:00,86PY001640,1,124
1986-11-24 18:00,86PY001676,1,95.2
1986-12-08 18:00,86PY001740,1,143
1986-12-22 18:00,86PY001781,1,149
1987-01-05 18:00,86PY001803,1,144
1987-01-19 18:00,86PY001863,1,159
1987-02-02 20:00,86PY001909,1,147
1987-02-18 22:30,86PY001966,1,149
1987-03-02 18:00,86PY002067,1,153
1987-03-16 18:00,86PY002256,1,121
1987-03-30 19:00,87PY000002,1,141
1987-04-13 18:00,87PY000078,1,121
1987-04-27 18:00,87PY000148,1,123
1987-05-11 18:30,87PY000220,1,102
1987-05-25 18:00,87PY000398,1,103
1987-06-08 19:00,87PY000520,1,95.7
1987-06-22 18:00,87PY000792,1,97
1987-07-06 18:00,87PY000915,1,96.6
1987-07-20 18:00,87PY000964,1,102
1987-08-04 18:00,87PY001065,1,103
1987-08-17 19:00,87PY001288,1,107
1987-08-28 18:15,87PY001371,1,116
1987-08-31 19:00,87PY001458,1,118
1987-09-14 16:30,87PY001492,1,117
1987-09-28 14:30,87PY001443,1,127
1987-10-13 16:00,87PY001493,1,132
1987-10-19 19:50,87PY001597,1,140
1987-10-26 15:40,87PY001556,1,141
1987-11-09 15:28,87PY001625,1,138
1987-11-23 15:30,87PY001750,1,139
1987-12-07 15:30,87PY001845,1,132
1988-01-07 22:30,88PY000031,1,160
1988-01-18 15:30,88PY000152,1,159
1988-02-01 15:30,88PY000254,1,162
1988-02-08 20:00,88PY000261,1,167
1988-02-15 15:30,88PY000297,1,155
1988-02-29 15:30,88PY000406,1,153
1988-03-14 15:15,88PY000482,1,155
1988-03-28 15:30,88PY000676,1,160
