sample_time,sample_number,sample_type,aluminum_total_ugL-1,antimony_total_ugL-1,arsenic_total_ugL-1,barium_total_ugL-1,beryllium_total_ugL-1,bismuth_total_ugL-1,boron_total_ugL-1,cadmium_total_ugL-1,cerium_total_ugL-1,cesium_total_ugL-1
2000-01-04 22:10,00PY000071,1,152,,,16.5,0.05,,,0.1,,
2000-01-07 18:10,00PY000087,1,137,,,16.3,0.05,,,0.1,,
2000-01-18 22:00,00PY000190,1,137,,,17.1,0.05,,,0.1,,
2000-02-01 22:00,00PY000395,1,131,,,17.5,0.05,,,0.1,,
2000-02-15 22:00,00PY000603,1,92,,,17.3,0.05,,,0.1,,
2000-02-29 22:00,00PY000898,1,153,,,17.7,0.05,,,0.1,,
2000-03-14 22:00,00PY001262,1,298,,,19.4,0.05,,,0.1,,
2000-03-28 22:00,00PY001590,1,1560,,,30.1,0.05,,,0.4,,
2000-04-11 22:00,00PY001851,1,2930,,,48.6,0.08,,,0.8,,
2000-04-25 22:00,00PY002119,1,8070,,,108,0.19,,,2.2,,
2000-05-09 22:00,00PY002395,1,2180,,,37,0.06,,,0.5,,
2000-05-23 22:00,00PY002739,1,3390,,,55.9,0.07,,,0.9,,
2000-06-06 20:00,00PY003099,1,2330,,,40.7,0.05,,,0.3,,
2000-06-20 22:00,00PY003493,1,3800,,,43.2,0.09,,,0.5,,
2000-07-04 22:00,00PY003785,1,2940,,,38.1,0.08,,,0.6,,
2000-08-16 21:30,00PY004844,1,739,,,17.5,0.05,,,0.2,,
2000-08-29 22:00,00PY005136,1,1360,,,25,0.05,,,0.2,,
2000-09-12 22:00,00PY005490,1,2480,,,35.4,0.07,,,0.4,,
2000-09-26 22:00,00PY005900,1,1050,,,21.3,0.05,,,0.4,,
2000-10-10 22:00,00PY006267,1,548,,,17.9,0.05,,,0.1,,
2000-10-24 22:00,00PY006714,1,645,,,20,0.05,,,0.1,,
2000-11-07 22:00,00PY007075,1,2520,,,38.4,0.09,,,0.4,,
2000-11-21 22:00,00PY007412,1,240,,,17.6,0.05,,,0.1,,
2000-12-05 22:00,00PY007742,1,184,,,15.9,0.05,,,0.1,,
2000-12-19 22:00,00PY008100,1,204,,,18.7,0.06,,,0.1,,
2001-01-02 22:00,01PY000008,1,214,,,18.9,0.05,,,0.1,,
2001-01-16 22:00,01PY000192,1,99,,,17.8,0.05,,,0.1,,
2001-01-30 22:00,01PY000430,1,60,,,17.4,0.05,,,0.2,,
2001-02-06 22:00,01PY000538,1,123,,,18.1,0.05,,,0.1,,
2001-02-13 22:00,01PY000645,1,57,,,17.7,0.05,,,0.1,,
2001-02-20 22:00,01PY000777,1,50,,,17.7,0.05,,,0.2,,
2001-02-27 22:00,01PY000967,1,61,,,18.3,0.05,,,0.1,,
2001-03-13 22:00,01PY001234,1,296,,,19.8,0.05,,,0.1,,
2001-03-27 22:00,01PY001592,1,1050,,,27.3,0.05,,,0.1,,
2001-04-10 22:00,01PY001906,1,2260,,,36.3,0.07,,,0.4,,
2001-04-24 22:00,01PY002145,1,3200,,,50.2,0.1,,,0.6,,
2001-05-08 22:00,01PY002500,1,1760,,,35.3,0.07,,,0.3,,
2001-05-22 22:00,01PY002838,1,1470,,,27.3,0.05,,,0.3,,
2001-06-05 22:00,01PY003186,1,4250,,,52.5,0.11,,,1,,
2001-06-19 22:00,01PY003617,1,1980,,,29.5,0.06,,,0.4,,
2001-07-10 22:00,01PY004034,1,1710,,,25.3,0.05,,,0.2,,
2001-07-17 22:00,01PY004235,1,1750,,,25.1,0.05,,,0.1,,
2001-07-31 22:00,01PY004598,1,2980,,,36.6,0.08,,,0.6,,
2001-08-14 22:00,01PY004881,1,1920,,,26.6,0.05,,,0.4,,
2001-08-28 22:00,01PY005200,1,1460,,,23.3,0.05,,,0.2,,
2001-09-04 22:00,01PY005355,1,727,,,19.4,0.05,,,0.2,,
2001-09-25 22:00,01PY005890,1,425,,,17.4,0.05,,,0.3,,
2001-10-09 22:00,01PY006307,1,343,,,16.4,0.05,,,0.1,,
2001-10-23 22:00,01PY006750,1,544,,,18.2,0.05,,,0.1,,
2001-11-06 22:00,01PY007140,1,309,,,16.7,0.05,,,0.1,,
2001-11-20 22:00,01PY007559,1,802,,,19.6,0.05,,,0.1,,
2001-12-04 22:00,01PY007832,1,160,,,14.9,0.05,,,0.2,,
2001-12-06 19:00,01PY007882,1,157,,,15.2,0.05,,,0.2,,
2001-12-18 22:00,01PY008069,1,305,,,17,0.05,,,0.1,,
2002-01-02 22:00,02PY000004,1,101,,,16.5,0.05,,,0.1,,
2002-01-16 22:00,02PY000112,1,243,,,18.4,0.05,,,0.1,,
2002-01-29 22:00,02PY000220,1,105,,,16.9,0.05,,,0.1,,
2002-02-12 22:00,02PY000313,1,115,,,17,0.05,,,0.1,,
2002-02-26 22:00,02PY000392,1,167,,,17.9,0.05,,,0.1,,
2002-03-12 22:00,02PY000489,1,176,,,18,0.05,,,0.1,,
2002-03-26 22:00,02PY000570,1,259,,,19,0.05,,,0.1,,
2002-04-09 22:00,03PY000129,1,321,,,20.3,0.05,,,0.1,,
2002-04-23 22:00,03PY000192,1,6590,,,77.1,0.05,,,0.8,,
2002-05-21 22:00,03PY000220,1,5820,,,51.8,0.12,,,0.5,,
2002-06-04 22:00,03PY000240,1,3960,,,48.7,0.12,,,0.6,,
2002-06-18 22:00,03PY000266,1,4420,,,55.1,0.13,,,0.7,,
2002-07-02 22:00,03PY000288,1,3520,,,43.1,0.11,,,0.5,,
2002-07-16 22:00,03PY000412,1,2320,,0.3,33.2,0.08,,,0.3,,
2002-07-30 22:00,03PY000339,1,986,,0.2,18.3,0.05,,,0.1,,
2002-08-13 22:00,03PY000361,1,1170,,,22.3,0.05,,,0.1,,
2002-08-27 22:00,03PY000477,1,896,,,20,0.05,,,0.1,,
2002-09-10 22:00,03PY000533,1,879,,,19,0.05,,,0.1,,
2002-09-24 22:00,03PY000709,1,5260,,,57.6,0.18,,,0.9,,
2002-10-08 22:00,04PY002050,1,1770,,,27.4,0.06,,,0.2,,
2002-10-22 22:00,03PY000596,1,566,,0.2,17.5,0.05,,,0.1,,
2002-11-05 22:00,03PY000655,1,368,,0.6,17.1,0.05,,,0.1,,
2002-11-19 22:00,03PY000697,1,750,,0.5,20.6,0.05,,,0.1,,
2002-12-04 0:00,03PY000608,1,345,,,16.6,0.05,,,0.1,,
2002-12-17 22:00,03PY000751,1,437,,,19.5,0.05,,,0.1,,
2003-01-02 22:00,03PY001406,1,139,,,17.4,0.05,,,0.1,,
2003-01-14 22:00,03PY000797,1,87,,,16.7,0.05,,,0.1,,
2003-01-28 22:00,04PY002039,1,261,,,12.1,0.05,,,0.1,,
2003-02-11 22:00,04PY002049,1,102,,,16.9,0.05,,,0.1,,
2003-03-11 22:00,03PY000637,1,148,0.064,0.62,18.8,0.006,0.001,8,0.023,,
2003-03-25 22:00,03PY000821,1,1550,0.078,0.99,33.9,0.044,0.012,7,0.052,,
2003-04-08 22:00,03PY000880,1,1030,0.057,0.67,29.3,0.036,0.01,4.2,0.052,,
2003-04-22 22:00,03PY000905,1,2160,0.075,0.95,41.4,0.066,0.017,3.8,0.057,,
2003-05-06 22:00,03PY000871,1,1850,0.019,0.75,34.6,0.049,0.008,3.2,0.035,,
2003-05-20 22:00,03PY000933,1,1210,,0.62,25,0.032,0.006,3.6,0.025,,
2003-06-03 22:00,03PY000966,1,4480,,1.26,54.4,0.109,0.025,3.4,0.06,,
2003-06-10 22:00,03PY000980,1,4150,0.099,1.24,50,0.084,0.017,3.7,0.051,,
2003-06-17 22:00,03PY001002,1,2590,0.076,0.73,36.4,0.064,0.018,2.8,0.035,,
2003-06-24 22:00,03PY001022,1,1650,0.06,0.65,26,0.039,0.01,2.9,0.023,,
2003-07-01 22:00,03PY001046,1,1700,0.069,0.64,28.1,0.037,0.01,2.4,0.028,,
2003-07-15 22:00,03PY001072,1,1680,0.066,0.56,25.4,0.031,0.008,2.9,0.02,,
2003-07-29 22:00,03PY001101,1,1250,0.058,0.58,23,0.029,0.008,2.6,0.03,,
2003-08-12 22:00,03PY001143,1,1020,0.059,0.61,20.9,0.025,0.009,2.8,0.023,,
2003-08-26 22:00,03PY001169,1,768,0.057,0.49,18.8,0.019,0.007,4.9,0.025,,
2003-09-09 22:00,03PY001190,1,521,0.044,0.54,17.9,0.013,0.005,5.1,0.024,,
2003-09-23 22:00,04PY001266,1,367,0.052,0.51,17,0.01,0.003,5.2,0.07,,
2003-10-07 22:00,03PY001273,1,249,0.04,0.44,15.5,0.006,0.003,5.2,0.03,,
2003-10-21 22:00,03PY001314,1,3810,0.163,5.81,60.2,0.075,0.021,4.6,0.107,,
2003-11-04 22:00,03PY001343,1,1020,0.048,,22.4,0.028,0.01,3.5,0.029,,
2003-11-18 22:00,03PY001423,1,1210,0.074,1.07,24.1,0.025,0.008,5,0.041,,
2003-12-02 22:00,03PY001452,1,156,0.046,0.46,16.3,0.006,0.001,6.5,0.016,,
2003-12-16 22:00,04PY001287,1,111,0.045,0.45,17,0.001,0.001,6.5,0.038,,
2004-01-07 0:00,04PY001294,1,289,0.077,0.71,20.3,0.009,0.001,10.1,0.025,,
2004-01-20 22:00,04PY001404,1,266,0.084,0.67,20.1,0.003,0.008,7.8,0.036,,
2004-02-03 22:00,04PY001361,1,113,0.076,0.62,18.4,0.001,0.008,8.6,0.024,,
2004-02-17 22:00,04PY001417,1,112,0.067,0.51,18.2,0.001,0.001,6.9,0.027,,
2004-03-01 22:00,04PY001472,1,334,0.069,0.72,21,0.001,0.003,6.7,0.076,,
2004-03-17 22:00,04PY001511,1,1730,0.095,0.95,35.5,0.024,0.012,6.3,0.057,1.94,0.112
2004-03-30 22:00,04PY001554,1,2620,0.124,1.15,44.5,0.063,0.02,5.6,0.069,3.48,0.169
2004-04-14 0:00,04PY001574,1,3530,0.118,1.29,51.8,0.081,0.019,2.8,0.077,3.72,0.198
2004-04-28 0:00,05PY000237,1,1640,0.057,0.77,32,0.043,0.01,1.9,0.033,1.82,0.102
2004-05-18 22:00,04PY001684,1,1170,0.048,0.58,26.7,0.033,0.008,1.4,0.028,1.31,0.07
2004-06-08 22:00,04PY001738,1,1790,0.071,0.66,27,0.037,0.009,2.5,0.096,1.58,0.086
2004-06-22 22:00,04PY001815,1,3080,0.057,0.84,35.9,0.058,0.011,0.5,0.035,2.64,0.117
2004-07-07 22:00,04PY001862,1,2590,0.058,0.75,41.1,0.049,0.01,1.1,0.024,2.21,0.11
2004-07-20 22:00,04PY001898,1,1670,0.048,0.64,24.5,0.032,0.006,1.1,0.02,1.34,0.073
2004-08-03 22:00,04PY001974,1,1570,0.045,0.58,23.5,0.031,0.009,1.1,0.027,1.53,0.094
2004-08-17 22:00,04PY002006,1,1500,0.029,0.6,26.5,0.028,0.009,1.5,0.029,1.33,0.087
2004-09-01 22:00,04PY002093,1,18100,0.127,2.09,137,0.303,0.038,3.4,0.131,12.9,0.465
2004-09-15 22:00,04PY002234,1,2950,0.073,0.77,35.7,0.065,0.015,3.4,0.034,2.99,0.152
2004-10-06 21:45,04PY002295,1,729,0.026,0.43,20.2,0.013,0.001,4,0.023,0.655,0.04
2004-11-03 22:00,04PY002390,1,568,0.037,0.42,16.9,0.01,0.001,4.4,0.014,0.573,0.034
2004-11-17 22:00,04PY002466,1,1480,0.051,0.63,29.7,0.038,0.009,3.4,0.048,1.85,0.095
2004-12-15 22:00,05PY000035,1,590,0.059,0.6,19,0.015,0.004,5.7,0.026,0.474,0.04
2005-01-05 22:00,05PY000079,1,301,0.058,0.58,18.1,0.009,0.002,6.9,0.028,0.279,0.021
2005-01-18 22:00,05PY000092,1,797,0.064,0.76,23.9,0.015,0.004,6.5,0.039,0.485,0.061
2005-02-01 22:00,05PY000128,1,4650,0.117,1.23,60.3,0.113,0.028,3.5,0.089,5.51,0.238
2005-02-15 22:00,05PY000243,1,1250,0.064,0.64,26.4,0.03,0.009,4.2,0.058,1.49,0.075
2005-03-02 22:00,05PY000253,1,474,0.049,0.54,19.7,0.013,0.002,5,0.028,0.518,0.038
2005-03-09 22:00,05PY000256,1,1390,0.075,0.84,29.6,0.04,0.01,5.3,0.067,1.8,0.106
2005-03-15 22:00,05PY000368,1,2460,0.084,0.88,40.2,0.062,0.017,4.1,0.072,3.08,0.158
2005-03-23 22:00,05PY000402,1,914,0.061,0.61,23.7,0.023,0.006,5,0.047,1.18,0.062
2005-03-30 22:00,05PY000417,1,612,0.056,0.52,21.5,0.021,0.007,4.5,0.04,0.833,0.05
2005-04-12 22:00,05PY000442,1,3270,0.104,1.4,48,0.086,0.021,5.2,0.078,4.87,0.236
2005-04-27 22:00,05PY000541,1,8710,0.186,2.04,129,0.235,0.045,4.9,0.171,12.4,0.489
2005-05-25 20:00,05PY000620,1,3020,0.087,1.02,44.3,0.078,0.018,3.2,0.065,4.27,0.188
2005-06-08 22:00,05PY000663,1,3890,0.064,1.21,50.9,0.1,0.025,2.8,0.07,5.37,0.252
2005-06-21 22:00,05PY000699,1,5700,0.072,1.17,60.5,0.124,0.02,4.1,0.11,5.12,0.237
2005-07-06 22:00,05PY000738,1,2850,0.07,0.88,37.5,0.06,0.011,3.7,0.037,3.03,0.133
2005-07-20 22:00,05PY000789,1,2010,0.047,0.59,30.9,0.042,0.005,2.8,0.025,2.17,0.103
2005-08-03 22:00,05PY000827,1,1750,0.05,0.61,28.3,0.038,0.006,3.5,,1.89,0.093
2005-08-17 22:00,05PY000903,1,1240,0.056,0.56,25.3,0.027,0.006,4.1,0.035,1.26,0.071
2005-08-31 22:00,05PY000946,1,1270,0.061,0.59,22.8,0.029,0.008,5.2,0.029,1.24,0.076
2005-09-14 22:00,05PY000994,1,673,0.047,0.46,18.8,0.018,0.004,4.8,0.031,0.716,0.045
2005-09-21 22:00,05PY001023,1,623,0.046,0.46,18.3,0.015,0.005,4.6,0.018,0.674,0.044
2005-10-05 22:00,05PY001071,1,1690,0.059,0.66,28,0.046,0.013,3.7,0.043,2.23,0.118
2005-10-19 22:00,06PY000033,1,1860,0.063,0.64,32.6,0.045,0.012,2.6,0.059,2.25,0.109
2005-11-09 22:00,06PY000112,1,636,0.042,0.44,17.5,0.014,0.003,3.7,0.043,0.582,0.037
2005-12-07 22:00,06PY000185,1,210,0.049,0.45,16,0.021,0.002,6,0.022,0.215,0.016
2006-01-04 22:00,06PY000208,1,378,0.049,0.51,17.4,0.01,0.004,5.2,0.1,0.454,0.03
2006-02-01 20:00,06PY000306,1,275,0.054,0.54,16.7,0.008,0.003,6.2,0.068,0.261,0.026
2006-03-01 22:00,06PY000404,1,105,0.049,0.52,16.6,0.004,0.001,7.4,,0.099,0.011
2006-03-15 22:00,06PY000450,1,129,0.051,0.52,16.7,0.004,0.001,7.7,0.037,0.134,0.012
2006-03-29 22:00,06PY000507,1,1780,0.104,0.93,36,0.051,0.017,7.8,0.121,2.72,0.146
2006-04-12 22:00,06PY000546,1,5350,0.143,1.57,81.5,0.148,0.038,4.6,0.837,8,0.348
2006-04-26 22:00,06PY000592,1,2540,0.077,0.92,42.9,0.059,0.014,3.6,0.076,3.29,0.168
2006-05-23 22:00,06PY000671,1,7080,0.134,1.58,81.9,0.168,0.04,3.7,0.124,9.15,0.344
2006-06-07 20:00,06PY000727,1,3650,0.077,0.95,45.7,0.08,0.018,3.1,0.048,4.35,0.173
2006-06-21 22:00,06PY000863,1,2780,0.062,0.7,34.8,0.054,0.012,3.6,0.076,2.5,0.119
2006-07-05 22:00,06PY000915,1,1300,0.051,0.6,23.2,0.028,0.009,4.1,0.025,1.48,0.086
2006-07-19 22:00,06PY000979,1,1370,0.05,0.56,23.6,0.031,0.012,3.7,0.023,1.67,0.097
2006-08-02 22:00,06PY001019,1,1200,0.049,0.58,21.3,0.023,0.008,4.8,0.025,1.29,0.082
2006-08-15 22:00,06PY001072,1,666,0.047,0.47,17.6,0.015,0.005,4.5,0.021,0.714,0.049
2006-09-13 22:00,06PY001209,1,332,0.047,0.41,15.3,0.007,0.003,5.3,0.015,0.298,0.027
2006-09-26 21:45,06PY001249,1,215,0.049,0.45,15.8,0.005,0.002,6.2,0.014,0.234,0.021
2006-10-11 22:00,06PY001306,1,213,0.049,0.47,16.1,0.015,0.002,5.7,0.016,0.233,0.02
2006-10-25 22:00,06PY001361,1,162,0.051,0.5,17,0.004,0.002,7.5,0.016,0.153,0.015
2006-11-08 22:00,06PY001396,1,5610,0.131,1.85,69.8,0.103,0.018,5.4,0.085,3.47,0.325
2006-11-22 22:00,06PY001456,1,645,0.064,0.7,21.1,0.015,0.003,6.4,0.029,0.429,0.049
2006-12-06 22:00,07PY000026,1,247,0.061,0.59,19.4,0.008,0.003,8.8,0.02,0.257,0.024
2006-12-20 22:00,07PY000207,1,196,0.058,0.58,18.8,0.007,0.001,6.6,0.011,0.195,0.022
2007-02-28 22:00,07PY000276,1,367,0.061,0.63,20.1,0.01,0.002,6.7,0.019,0.327,0.025
2007-03-14 22:00,07PY000310,1,6350,0.149,1.97,80.2,0.125,0.027,5.1,0.109,5.76,0.337
2007-04-25 22:00,07PY000418,1,3100,0.097,0.96,47.9,0.072,0.014,4.2,0.05,3.35,0.152
2007-05-09 22:00,07PY000524,1,4690,0.132,1.33,68.4,0.111,0.019,3.9,0.076,4.76,0.231
2007-06-06 22:00,07PY000612,1,5030,0.141,1.72,56.5,0.104,0.029,3,0.084,4.77,0.28
2007-06-13 19:00,07PY000628,1,6190,0.132,1.73,83.8,0.159,0.036,3.3,0.107,8.01,0.358
2007-07-11 22:00,07PY000723,1,2060,0.069,0.78,31.2,0.048,0.012,2.8,0.035,2.19,0.115
2007-08-22 22:00,07PY000995,1,1300,0.06,0.64,25.1,0.029,0.007,4.3,0.024,1.37,0.076
