Sample time,Sample number,Sample type,chromium_total_ugL-1,cobalt_total_ugL-1,copper_total_ugL-1,europium_total_ugL-1,gadolinium_totalrecoverable_ugL-1,gallium_total_ugL-1,germanium_total_ugL-1,hafnium_total_ugL-1,holmium_total_ugL-1,indium_total_ugL-1
2000-01-04 22:10,00PY000071,1,0.6,0.2,1.1,,,,,,,
2000-01-07 18:10,00PY000087,1,1.1,0.1,1.1,,,,,,,
2000-01-18 22:00,00PY000190,1,0.3,0.1,1.3,,,,,,,
2000-02-01 22:00,00PY000395,1,0.2,0.1,0.9,,,,,,,
2000-02-15 22:00,00PY000603,1,0.3,0.1,0.8,,,,,,,
2000-02-29 22:00,00PY000898,1,0.2,0.2,1.8,,,,,,,
2000-03-14 22:00,00PY001262,1,0.8,0.3,1.5,,,,,,,
2000-03-28 22:00,00PY001590,1,3.9,1.3,4.3,,,,,,,
2000-04-11 22:00,00PY001851,1,7.3,2.7,8,,,,,,,
2000-04-25 22:00,00PY002119,1,20,7.9,21.1,,,,,,,
2000-05-09 22:00,00PY002395,1,4.4,1.8,5.3,,,,,,,
2000-05-23 22:00,00PY002739,1,7.1,3,8.7,,,,,,,
2000-06-06 20:00,00PY003099,1,4.4,1.8,4.9,,,,,,,
2000-06-20 22:00,00PY003493,1,5.7,2.5,6.5,,,,,,,
2000-07-04 22:00,00PY003785,1,5.4,2.6,6.4,,,,,,,
2000-08-16 21:30,00PY004844,1,1.6,0.7,1.9,,,,,,,
2000-08-29 22:00,00PY005136,1,2.3,1.1,2.9,,,,,,,
2000-09-12 22:00,00PY005490,1,5,2.4,6.4,,,,,,,
2000-09-26 22:00,00PY005900,1,1.9,1,2.5,,,,,,,
2000-10-10 22:00,00PY006267,1,1.4,0.5,1.6,,,,,,,
2000-10-24 22:00,00PY006714,1,1,0.5,1.9,,,,,,,
2000-11-07 22:00,00PY007075,1,5.2,2.2,5.7,,,,,,,
2000-11-21 22:00,00PY007412,1,0.6,0.2,1.3,,,,,,,
2000-12-05 22:00,00PY007742,1,0.2,0.2,0.9,,,,,,,
2000-12-19 22:00,00PY008100,1,0.5,0.3,1.3,,,,,,,
2001-01-02 22:00,01PY000008,1,0.6,0.3,1.4,,,,,,,
2001-01-16 22:00,01PY000192,1,0.2,0.1,0.8,,,,,,,
2001-01-30 22:00,01PY000430,1,0.2,0.1,0.7,,,,,,,
2001-02-06 22:00,01PY000538,1,0.2,0.1,0.7,,,,,,,
2001-02-13 22:00,01PY000645,1,0.2,0.1,0.8,,,,,,,
2001-02-20 22:00,01PY000777,1,0.2,0.1,0.8,,,,,,,
2001-02-27 22:00,01PY000967,1,0.2,0.1,0.8,,,,,,,
2001-03-13 22:00,01PY001234,1,0.7,0.3,1.1,,,,,,,
2001-03-27 22:00,01PY001592,1,2.8,1,3.4,,,,,,,
2001-04-10 22:00,01PY001906,1,6.2,2.2,6.4,,,,,,,
2001-04-24 22:00,01PY002145,1,7.3,3.1,8.6,,,,,,,
2001-05-08 22:00,01PY002500,1,3.9,1.9,5.4,,,,,,,
2001-05-22 22:00,01PY002838,1,3,1.4,3.8,,,,,,,
2001-06-05 22:00,01PY003186,1,8.2,3.7,9.2,,,,,,,
2001-06-19 22:00,01PY003617,1,3.4,1.7,4.4,,,,,,,
2001-07-10 22:00,01PY004034,1,2.6,1.2,3.1,,,,,,,
2001-07-17 22:00,01PY004235,1,2.3,1.3,2.1,,,,,,,
2001-07-31 22:00,01PY004598,1,5.2,2.5,9.6,,,,,,,
2001-08-14 22:00,01PY004881,1,3.1,1.4,4.3,,,,,,,
2001-08-28 22:00,01PY005200,1,2.3,1.1,3.1,,,,,,,
2001-09-04 22:00,01PY005355,1,1.1,0.8,2.2,,,,,,,
2001-09-25 22:00,01PY005890,1,0.8,0.4,1.2,,,,,,,
2001-10-09 22:00,01PY006307,1,0,0.3,1.4,,,,,,,
2001-10-23 22:00,01PY006750,1,0,0.6,2.2,,,,,,,
2001-11-06 22:00,01PY007140,1,0,0.2,1.3,,,,,,,
2001-11-20 22:00,01PY007559,1,0,0.6,2,,,,,,,
2001-12-04 22:00,01PY007832,1,0,0.3,1.3,,,,,,,
2001-12-06 19:00,01PY007882,1,0,0.3,1.2,,,,,,,
2001-12-18 22:00,01PY008069,1,0,0.2,1.1,,,,,,,
2002-01-02 22:00,02PY000004,1,0,0.1,0.9,,,,,,,
2002-01-16 22:00,02PY000112,1,0.2,0.2,1.1,,,,,,,
2002-01-29 22:00,02PY000220,1,0.2,0.1,0.9,,,,,,,
2002-02-12 22:00,02PY000313,1,0.2,0.1,0.9,,,,,,,
2002-02-26 22:00,02PY000392,1,0.2,0.1,1,,,,,,,
2002-03-12 22:00,02PY000489,1,0.3,0.2,1.1,,,,,,,
2002-03-26 22:00,02PY000570,1,0.4,0.1,1.8,,,,,,,
2002-04-09 22:00,03PY000129,1,0.2,0.1,1,,,,,,,
2002-04-23 22:00,03PY000192,1,13.1,5.9,16,,,,,,,
2002-05-21 22:00,03PY000220,1,8.4,3.4,9,,,,,,,
2002-06-04 22:00,03PY000240,1,6.9,3.5,9.3,,,,,,,
2002-06-18 22:00,03PY000266,1,8.5,4,10.3,,,,,,,
2002-07-02 22:00,03PY000288,1,6.2,3.3,7.8,,,,,,,
2002-07-16 22:00,03PY000412,1,4.4,2.2,5.5,,,,,,,
2002-07-30 22:00,03PY000339,1,2.1,0.8,2.6,,,,,,,
2002-08-13 22:00,03PY000361,1,2.5,0.9,3,,,,,,,
2002-08-27 22:00,03PY000477,1,1.3,0.7,2.2,,,,,,,
2002-09-10 22:00,03PY000533,1,1.3,0.8,2.5,,,,,,,
2002-09-24 22:00,03PY000709,1,9.7,4.9,11.9,,,,,,,
2002-10-08 22:00,04PY002050,1,2.8,1.4,5.2,,,,,,,
2002-10-22 22:00,03PY000596,1,1.2,0.5,2.4,,,,,,,
2002-11-05 22:00,03PY000655,1,0.7,0.3,1.4,,,,,,,
2002-11-19 22:00,03PY000697,1,1.6,0.6,2.6,,,,,,,
2002-12-04 0:00,03PY000608,1,0.5,0.3,1.5,,,,,,,
2002-12-17 22:00,03PY000751,1,0.9,0.4,1.8,,,,,,,
2003-01-02 22:00,03PY001406,1,0.3,0.2,1.3,,,,,,,
2003-01-14 22:00,03PY000797,1,0.2,0.1,1,,,,,,,
2003-01-28 22:00,04PY002039,1,0.4,0.1,0.8,,,,,,,
2003-02-11 22:00,04PY002049,1,0.2,0.1,1.1,,,,,,,
2003-03-11 22:00,03PY000637,1,0.455,0.115,1.11,,,0.04,,,,
2003-03-25 22:00,03PY000821,1,3.66,1.42,4.37,,,0.382,,,,
2003-04-08 22:00,03PY000880,1,2.16,0.995,3.44,,,0.27,,,,
2003-04-22 22:00,03PY000905,1,4.26,1.85,5.77,,,0.543,,,,
2003-05-06 22:00,03PY000871,1,2.98,1.18,4.57,,,0.446,,,,
2003-05-20 22:00,03PY000933,1,1.93,0.8,2.75,,,0.287,,,,
2003-06-03 22:00,03PY000966,1,6.81,3.17,8,,,1.05,,,,
2003-06-10 22:00,03PY000980,1,5.8,2.33,6.41,,,0.932,,,,
2003-06-17 22:00,03PY001002,1,3.74,1.79,4.77,,,0.671,,,,
2003-06-24 22:00,03PY001022,1,2.24,1.07,3.16,,,0.395,,,,
2003-07-01 22:00,03PY001046,1,2.3,1.02,2.98,,,0.395,,,,
2003-07-15 22:00,03PY001072,1,1.94,0.804,2.75,,,0.362,,,,
2003-07-29 22:00,03PY001101,1,1.73,0.842,2.54,,,0.284,,,,
2003-08-12 22:00,03PY001143,1,1.49,0.666,2.13,,,0.257,,,,
2003-08-26 22:00,03PY001169,1,1.13,0.567,1.77,,,0.186,,,,
2003-09-09 22:00,03PY001190,1,0.887,0.413,1.49,,,0.141,,,,
2003-09-23 22:00,04PY001266,1,0.645,0.278,1.26,,,0.097,,,,
2003-10-07 22:00,03PY001273,1,0.44,0.177,1.19,,,0.064,,,,
2003-10-21 22:00,03PY001314,1,6.43,2.52,6.58,,,1.14,,,,
2003-11-04 22:00,03PY001343,1,1.61,0.788,2.52,,,0.267,,,,
2003-11-18 22:00,03PY001423,1,2.54,0.828,2.69,,,0.327,,,,
2003-12-02 22:00,03PY001452,1,0.399,0.13,0.98,,,0.049,,,,
2003-12-16 22:00,04PY001287,1,0.312,0.092,0.96,,,0.033,,,,
2004-01-07 0:00,04PY001294,1,0.702,0.214,1.21,,,0.086,,,,
2004-01-20 22:00,04PY001404,1,1.83,0.203,1.4,,,0.08,,,,
2004-02-03 22:00,04PY001361,1,0.368,0.086,1.04,,,0.037,,,,
2004-02-17 22:00,04PY001417,1,0.337,0.082,0.94,,,0.035,,,,
2004-03-01 22:00,04PY001472,1,0.722,0.253,1.87,,,0.095,,,,
2004-03-17 22:00,04PY001511,1,3.44,1.31,4.35,,,0.431,,,,
2004-03-30 22:00,04PY001554,1,5.95,2,6.44,,,0.645,,,,
2004-04-14 0:00,04PY001574,1,5.39,2.23,6.52,,,0.847,,,,
2004-04-28 0:00,05PY000237,1,2.98,1.06,3.63,,,0.408,,,,
2004-05-18 22:00,04PY001684,1,1.9,0.773,2.63,,,0.295,,,,
2004-06-08 22:00,04PY001738,1,2.8,1.04,3.18,,,0.427,,,,
2004-06-22 22:00,04PY001815,1,3.55,1.49,3.68,,,0.683,,,,
2004-07-07 22:00,04PY001862,1,3.11,1.3,3.29,,,0.608,,,,
2004-07-20 22:00,04PY001898,1,1.95,0.771,2.33,,,0.377,,,,
2004-08-03 22:00,04PY001974,1,2.03,0.861,2.69,,,0.389,,,,
2004-08-17 22:00,04PY002006,1,1.86,0.783,2.43,,,0.352,,,,
2004-09-01 22:00,04PY002093,1,18.7,9.16,21.9,,,4.18,,,,
2004-09-15 22:00,04PY002234,1,4.23,1.96,5.19,,,0.647,,,,
2004-10-06 21:45,04PY002295,1,1.08,0.45,1.66,,,0.167,,,,
2004-11-03 22:00,04PY002390,1,1.03,0.355,1.47,,,0.127,,,,
2004-11-17 22:00,04PY002466,1,2.2,0.968,3.04,,,0.35,,,,
2004-12-15 22:00,05PY000035,1,0.985,0.323,1.54,,,0.143,,,,
2005-01-05 22:00,05PY000079,1,0.599,0.187,1.32,,,0.082,,,,
2005-01-18 22:00,05PY000092,1,1.74,0.507,1.88,,,0.19,,,,
2005-02-01 22:00,05PY000128,1,7.64,3.17,8.8,,,1.07,,,,
2005-02-15 22:00,05PY000243,1,2.15,0.841,2.99,,,0.285,,,,
2005-03-02 22:00,05PY000253,1,0.866,0.344,1.56,,,0.122,,,,
2005-03-09 22:00,05PY000256,1,2.93,1.12,3.88,,,0.361,,,,
2005-03-15 22:00,05PY000368,1,4.38,1.79,5.23,,,0.613,,,,
2005-03-23 22:00,05PY000402,1,1.63,0.654,2.34,,,0.221,,,,
2005-03-30 22:00,05PY000417,1,1.41,0.539,2.28,,,0.146,,,,
2005-04-12 22:00,05PY000442,1,7.25,2.28,6.93,,,0.82,,,,
2005-04-27 22:00,05PY000541,1,16,7.56,17.5,,,2.19,,,,
2005-05-25 20:00,05PY000620,1,5.09,2.41,6.2,,,0.755,,,,
2005-06-08 22:00,05PY000663,1,6.18,3.19,7.64,,,0.973,,,,
2005-06-21 22:00,05PY000699,1,8.38,3.71,8.72,,,1.35,,,,
2005-07-06 22:00,05PY000738,1,4.14,1.89,4.61,,,0.686,,,,
2005-07-20 22:00,05PY000789,1,2.73,1.25,3.51,,,0.484,,,,
2005-08-03 22:00,05PY000827,1,2.55,1.1,3.42,,,0.427,,,,
2005-08-17 22:00,05PY000903,1,1.64,0.696,2.37,,,0.284,,,,
2005-08-31 22:00,05PY000946,1,1.77,0.842,2.61,,,0.292,,,,
2005-09-14 22:00,05PY000994,1,0.907,0.422,1.58,,,0.16,,,,
2005-09-21 22:00,05PY001023,1,0.941,0.413,1.49,,,0.149,,,,
2005-10-05 22:00,05PY001071,1,2.66,1.29,3.52,,,0.423,,,,
2005-10-19 22:00,06PY000033,1,3.07,1.34,3.77,,,0.457,,,,
2005-11-09 22:00,06PY000112,1,0.885,0.323,1.53,,,0.139,,,,
2005-12-07 22:00,06PY000185,1,0.429,0.155,1.81,,,0.055,,,,
2006-01-04 22:00,06PY000208,1,0.739,0.262,1.36,,,0.09,,,,
2006-02-01 20:00,06PY000306,1,0.709,0.191,1.28,,,0.074,,,,
2006-03-01 22:00,06PY000404,1,0.35,0.086,,,,0.029,,,,
2006-03-15 22:00,06PY000450,1,0.35,0.102,0.89,,,0.034,,,,
2006-03-29 22:00,06PY000507,1,4.68,1.8,6.11,,,0.458,,,,
2006-04-12 22:00,06PY000546,1,10.1,4.33,13,,,1.32,,,,
2006-04-26 22:00,06PY000592,1,4.41,1.76,5.63,,,0.603,,,,
2006-05-23 22:00,06PY000671,1,11.6,5.06,12.2,,,1.65,,,,
2006-06-07 20:00,06PY000727,1,5.24,2.35,5.68,,,0.851,,,,
2006-06-21 22:00,06PY000863,1,3.29,1.51,4.03,,,0.609,,,,
2006-07-05 22:00,06PY000915,1,2.02,0.894,2.63,,,0.321,,,,
2006-07-19 22:00,06PY000979,1,2.11,0.987,2.86,,,0.346,,,,
2006-08-02 22:00,06PY001019,1,1.68,0.818,2.39,,,0.28,,,,
2006-08-15 22:00,06PY001072,1,0.973,0.418,1.61,,,0.161,,,,
2006-09-13 22:00,06PY001209,1,0.473,0.201,1.13,,,0.072,,,,
2006-09-26 21:45,06PY001249,1,0.37,0.138,0.98,,,0.052,,,,
2006-10-11 22:00,06PY001306,1,0.387,0.136,1.45,,,0.06,,,,
2006-10-25 22:00,06PY001361,1,0.327,0.104,0.86,,,0.042,,,,
2006-11-08 22:00,06PY001396,1,7.15,2.68,8.58,,,1.41,,,,
2006-11-22 22:00,06PY001456,1,0.906,0.332,1.62,,,0.153,,,,
2006-12-06 22:00,07PY000026,1,0.527,0.183,1.3,,,0.068,,,,
2006-12-20 22:00,07PY000207,1,0.418,0.157,1.08,,,0.051,,,,
2007-02-28 22:00,07PY000276,1,0.702,0.24,1.32,,,0.091,,,,
2007-03-14 22:00,07PY000310,1,8.64,4.01,12.4,,,1.66,,,,
2007-04-25 22:00,07PY000418,1,4.75,1.89,6.19,,,0.75,,,,
2007-05-09 22:00,07PY000524,1,6.86,2.66,7.79,,,1.11,,,,
2007-06-06 22:00,07PY000612,1,8.18,3.18,8.74,,,1.25,,,,
2007-06-13 19:00,07PY000628,1,10.1,4.75,11.4,,,1.65,,,,
2007-07-11 22:00,07PY000723,1,2.71,1.18,3.51,,,0.508,,,,
2007-08-22 22:00,07PY000995,1,1.81,0.795,2.94,,,0.317,,,,
2007-09-11 20:00,08PY000571,1,1.37,0.681,2.14,,,0.232,,,,
2007-10-10 22:00,07PY001243,1,1.07,0.467,1.78,,,0.162,,,,
