Sample time,Sample number,Sample type,iron_total_ugL-1,lanthanum_total_ugL-1,lead_total_ugL-1,lithium_total_ugL-1,lutetium_total_ugL-1,manganese_total_ugL-1,molybdenum_total_ugL-1,neodymium_total_ugL-1,nickel_total_ugL-1,niobium_total_ugL-1
2000-01-04 22:10,00PY000071,1,223,,0.2,1,,8.2,0.8,,0.8,
2000-01-07 18:10,00PY000087,1,210,,0.2,0.7,,7.7,0.7,,1.3,
2000-01-18 22:00,00PY000190,1,204,,0.2,0.9,,8.1,0.9,,0.7,
2000-02-01 22:00,00PY000395,1,186,,0.2,0.9,,6.9,0.8,,0.7,
2000-02-15 22:00,00PY000603,1,130,,0.2,1,,5.9,0.9,,0.6,
2000-02-29 22:00,00PY000898,1,223,,0.2,1.1,,8.2,0.8,,0.5,
2000-03-14 22:00,00PY001262,1,447,,0.2,1.3,,13.7,0.8,,1.2,
2000-03-28 22:00,00PY001590,1,2450,,1.2,2,,54.4,0.8,,4.5,
2000-04-11 22:00,00PY001851,1,5540,,2.9,3.1,,126,0.6,,9,
2000-04-25 22:00,00PY002119,1,15900,,8.1,7.7,,366,0.4,,25.4,
2000-05-09 22:00,00PY002395,1,3700,,2.2,2.5,,82.1,0.5,,5.9,
2000-05-23 22:00,00PY002739,1,5840,,2.8,3.1,,138,0.5,,10.6,
2000-06-06 20:00,00PY003099,1,3480,,2,2.6,,83.7,0.4,,6.1,
2000-06-20 22:00,00PY003493,1,5990,,2.8,3.2,,113,0.5,,7.6,
2000-07-04 22:00,00PY003785,1,4830,,2.7,3.3,,119,0.3,,7.7,
2000-08-16 21:30,00PY004844,1,1330,,0.5,1.5,,33.5,0.5,,2.1,
2000-08-29 22:00,00PY005136,1,1860,,1,1.9,,47.1,0.6,,3.3,
2000-09-12 22:00,00PY005490,1,4380,,2.3,3.2,,105,0.5,,6.8,
2000-09-26 22:00,00PY005900,1,1720,,1.2,2.4,,37.7,0.5,,2.7,
2000-10-10 22:00,00PY006267,1,840,,0.2,1.5,,22.4,0.6,,1.9,
2000-10-24 22:00,00PY006714,1,993,,0.2,1,,25.7,0.5,,1.9,
2000-11-07 22:00,00PY007075,1,4180,,2.1,2.3,,95.3,0.6,,6.8,
2000-11-21 22:00,00PY007412,1,390,,0.8,1.1,,13.6,0.7,,1.2,
2000-12-05 22:00,00PY007742,1,309,,0.2,0.6,,10.7,0.8,,0.9,
2000-12-19 22:00,00PY008100,1,305,,0.2,1.7,,11.3,1.1,,1,
2001-01-02 22:00,01PY000008,1,368,,0.2,1,,11.9,0.9,,1.2,
2001-01-16 22:00,01PY000192,1,195,,0.2,0.1,,7.3,0.8,,0.7,
2001-01-30 22:00,01PY000430,1,129,,0.2,0.8,,5.6,0.9,,0.6,
2001-02-06 22:00,01PY000538,1,222,,0.2,0.7,,8,0.8,,0.7,
2001-02-13 22:00,01PY000645,1,116,,0.2,0.5,,5.6,0.9,,0.7,
2001-02-20 22:00,01PY000777,1,104,,0.2,0.5,,5.1,1,,0.7,
2001-02-27 22:00,01PY000967,1,114,,0.2,1.2,,5.6,1,,0.5,
2001-03-13 22:00,01PY001234,1,456,,0.2,1.1,,13.7,1,,1.3,
2001-03-27 22:00,01PY001592,1,1770,,0.5,1.5,,45.2,0.9,,3.7,
2001-04-10 22:00,01PY001906,1,4130,,2.1,2.1,,85.6,1,,7.3,
2001-04-24 22:00,01PY002145,1,5830,,3,2.7,,150,0.5,,9.9,
2001-05-08 22:00,01PY002500,1,3130,,1.4,2.2,,84.8,0.7,,5.7,
2001-05-22 22:00,01PY002838,1,2460,,1.4,2.4,,62.1,0.6,,4.6,
2001-06-05 22:00,01PY003186,1,7030,,5.1,4.3,,170,0.6,,11.4,
2001-06-19 22:00,01PY003617,1,3060,,1.4,2.2,,73.7,0.6,,5,
2001-07-10 22:00,01PY004034,1,2160,,1.5,1.9,,51.4,0.6,,3.6,
